"","V1","V2","V3","V4"
"95%",-78.7987465682546,-24.6089065288294,-18.2409604686446,20.30736378076
"75%",-75.3601285924621,-35.3940077056613,-5.48856876311871,10.2579239452597
"50%",-71.2991014384723,-42.6855336426136,NA,NA
