"","V1","V2","V3","V4"
"95%",-77.9403605497096,-31.0421141586977,40.2859988793633,72.8074427796103
"75%",-74.8290152234569,-37.2619035484118,54.8329782312775,60.1441753686609
"50%",-67.5387880249733,-46.8692921498674,NA,NA
