"","V1","V2","V3","V4","V5","V6"
"95%",-86.6091293750615,-18.9376455940303,27.510147641142,42.7122167130118,56.0773387943894,77.939513162161
"75%",-80.277328392871,-34.971287274421,NA,NA,NA,NA
"50%",-72.5897614204414,-49.2420240874286,NA,NA,NA,NA
