,V1,V2,V3,V4,V5,
95%,-90,-31.93585596,-11.39317401,16.18232021,25.59045492,76.70888867
75%,-43.53496791,42.07145017,70.04483796,NA,NA,
50%,-90,-80.69488463,-64.65988743,-50.88762673,47.13187158,66.29062887
