"","V1","V2","V3","V4","V5","V6"
"95%",-62.5117598575148,-36.2064976536593,-9.79697836861927,79.8134179988127,NA,NA
"75%",-53.7195689541195,-44.2962890286678,0.560629555395556,68.0640611894011,NA,NA
"50%",-50.499851546271,-47.4030348745623,5.59140465179966,10.2039132954523,25.2910894729954,63.8853517243729
