"","V1","V2","V3","V4","V5","V6","V7","V8"
"95%",-85.5843409046707,-8.24008461382531,8.24008461382534,85.5843409046707,NA,NA,NA,NA
"75%",-82.9037346198025,-50.488098821757,-49.2452604231397,-31.6499205413526,31.6499205413526,49.2452604231396,50.488098821757,82.9037346198025
"50%",-82.3781661400118,-56.3320648159989,-40.1198900605898,-36.4341050593934,36.4341050593934,40.1198900605897,56.3320648159989,82.3781661400118
