"","V1","V2","V3","V4","V5","V6"
"95%",-66.7463919655408,66.7463919655408,NA,NA,NA,NA
"75%",-51.4511543830219,-24.0453897521532,-20.8472535614565,20.8472535614567,24.0453897521532,51.4511543830219
"50%",-48.4735829459564,-31.3564798903892,-14.2074236649063,14.2074236649063,31.3564798903892,48.4735829459564
