"","V1","V2","V3","V4","V5","V6"
"95%",-76.9033997557901,-29.5080161814165,-23.1864073388282,23.1864073388282,29.5080161814165,76.9033997557901
"75%",-72.5361980521995,-40.5191098746461,-13.3735056631558,13.3735056631558,40.5191098746461,72.5361980521995
"50%",-67.9617108671855,-47.5162360056303,-6.70597804082121,6.70597804082121,47.5162360056303,67.9617108671855
