"","V1","V2","V3","V4"
"95%",-79.9154064487517,-29.8024970400607,29.8024970400607,79.9154064487517
"75%",-73.1451428829414,-41.7747631170612,41.7747631170612,73.1451428829414
"50%",-67.5250005779689,-48.772141102053,48.772141102053,67.5250005779689
