"","V1","V2","V3","V4"
"95%",-81.4149747851336,-35.5819983145534,35.5819983145534,81.4149747851336
"75%",-78.6352626539389,-51.4513491489291,51.4513491489291,78.6352626539389
"50%",-74.2755100449235,-58.9972566797378,58.9972566797378,74.2755100449235
