"","V1","V2","V3","V4","V5","V6"
"95%",-74.3636699531278,-39.3357487513063,-17.7835214273991,66.7417756871475,NA,NA
"75%",-65.6771952590628,-52.2378954942559,-7.64080097965302,24.1816714330167,29.1102163326141,60.0983299757847
"50%",-59.41808351923,-59.1358597443557,-4.51641502249637,16.0030810793284,34.9538950430474,58.1621615022536
