"","V1","V2","V3","V4","V5","V6"
"95%",-69.0812973617366,-21.5350822384278,-19.544037575631,10.6226310462754,26.5573123244951,83.5309944212191
"75%",-64.3852003986096,-33.9873271684724,-4.47019830931104,0.951443762902503,33.9504328470677,79.0640885032741
"50%",-56.8204570179173,-46.3634648131098,41.4750414196054,72.6670371043066,NA,NA
