"","V1","V2","V3","V4"
"95%",-82.1320715724388,-30.5298399861337,30.5298399861337,82.1320715724388
"75%",-75.8576262446143,-43.9384414065862,43.9384414065862,75.8576262446143
"50%",-70.7175480591629,-51.2482925987368,51.2482925987368,70.7175480591629
