LithologyCode,LithNumber,OldIDNumber,LAT,NS,LONG,EW,Continent,Country,GeogComments,LMU,Period,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso, 
G,155,G4726,64,N,121.0,E,Asia,C.I.S(frm USSR),Lena River and eastern Taymyr,Lower,Cretaceous,,,Glendonites,,,"Kemper(1987, Fig. 5)summarizes the locations discussed by Kaplan(1978)",
G,156,G4727,72,N,120.0,E,Asia,C.I.S(frm USSR),Lena River and eastern Taymyr,Lower,Cretaceous,,,Glendonites,,,"Kemper(1987, Fig. 5)summarizes the locations discussed by Kaplan(1978)",
G,157,G4728,74,N,115.0,E,Asia,C.I.S(frm USSR),Lena River and eastern Taymyr,Lower,Cretaceous,,,Glendonites,,,"Kemper(1987, Fig. 5)summarizes the locations discussed by Kaplan(1978)",
G,158,G4729,-31,S,143.0,E,Australia,New South Wales,western New South Wales at White Cliffs,Lower,Cretaceous,,,Glendonites,,,"David,Woolnough(1926)",
G,159,G4730,-30,S,140.0,E,Australia,S. Australia,Eromanga Basin incl the Callabonna sheet area ,Lower,Cretaceous,Aptian-Albian,,Glendonites,Eromanga Basin Bulldog Shale,,Sheard(1990),"see also Drexel and Preiss, eds.,(1995)"
G,160,G4731,-30,S,135.0,E,Australia,S. Australia,Coober Pedy,Lower,Cretaceous,,,Glendonites,,,Sheard(1990),"see also Drexel and Preiss, eds.,(1995)"
G,161,G4732,78,N,14.0,E,Europe,Svalbard,west-central Svalbard,Lower,Cretaceous,Valanginian,,Glendonites,Rurikfjellet,,Kemper(1975)cites Pchelina's 1965 report,
G,162,G4733,80,N,-90.0,W,North America,Canada,"Artic Canada, Sverdrup Basin",Lower,Cretaceous,Valanginian and Apt/Alb,,Glendonites," Upper Deer Bay,Christopher",,"Kemper(1975,1987) and Kemper,Schmitz(1975,1981)",
C,163,C4734,33,N,-1.0,W,Africa,Algeria,Ain Sefra area of the western Saharan Atlas,Lower,Cretaceous,,,Coals,,,"Lefranc,Guiraud(1990)",
C,164,C4734.1,-15,S,12.0,E,Africa,Angola,,Lower,Cretaceous,Aptian,,Coals,,,Coward et al.(1999),
C,165,C4734.2,-12,S,13.0,E,Africa,Angola,,Lower,Cretaceous,Aptian,,Coals,,,Coward et al.(1999),
C,166,C4736,29,N,34.0,E,Africa,Egypt,northern Egypt from Sinai,Lower,Cretaceous,,,Coals,,broad belt of occurrences,"Brownfield,Weaver(1992)",
C,167,C4736.1,30,N,30.0,E,Africa,Egypt,Gharadig Basin,Lower,Cretaceous,Neocomian-Aptian,,Coals,Alam El Bueib Member,,Felesteen(1998),
C,168,C4737,9,N,39.0,E,Africa,Ethiopia,,Lower,Cretaceous,,,Coals,,cite Debre Berhan and Fiche,"Brownfield,Weaver(1992)",
C,169,C4739,30,N,13.0,E,Africa,Libya,Tripolitania in northwestern Libya,Lower,Cretaceous,,U. Jurassic,Coals,Kiklah,,"Lefranc,Guiraud(1990)",
C,170,C4740,26,N,14.0,E,Africa,Libya,Fezzan,Lower,Cretaceous,,Jurassic?,Coals,,,Hlustik(1990),
C,171,C4741,32,N,20.0,E,Africa,Libya,north of Benghazi,Lower,Cretaceous,Valanginian-Barremian,,Coals,Qahash,A1/NC120 well,Duronio et al.(1992),
C,172,C4742,27,N,14.0,E,Africa,Libya,,Lower,Cretaceous,Berremian,,Coals,Mesah(Jarmah Member),,Tekbali(1994),
C,173,C4743,-20,S,45.0,E,Africa,Madagascar,,Lower,Cretaceous,Albian,,Coals,,,"Besairie(1972)cites L. Cret. coals(p. 43), and Albian(p. 152-153) ",
C,174,C4743.1,-16,S,46.0,E,Africa,Madagascar,Majunga Basin,Lower,Cretaceous,to Cenomamian,,Coals,,,Razafindrazaka et al.(1999),
C,175,C4746,-34,S,24.0,E,Africa,S. Africa,southwest of Port Elizabeth,Lower,Cretaceous,Hauterivian to Aptian,,Coals,,,"Dingle et al.(1983, Fig. 91)","see also Dingle, 1978, p. 419"
C,176,C4746.1,-33.75,S,22.0,E,Africa,S. Africa,Oudtshoorn,Lower,Cretaceous,,,Coals,Enon,,"McLachlan,McMillan(1976)",
C,177,C4746.2,-34,S,21.5,E,Africa,S. Africa,,Lower,Cretaceous,Valanginian-Barremian,,Coals,Kirkwood,,"McLachlan,McMillan(1976)",
C,178,C4746.3,-34.5,S,21.5,E,Africa,S. Africa,Bredasdorp Basin offshore,Lower,Cretaceous,Aptian,,Coals,,,McMillan et al.(1997),
C,179,C4746.4,-34.5,S,23.5,E,Africa,S. Africa,Pletmos Basin offshore,Lower,Cretaceous,Aptian,,Coals,,,McMillan et al.(1997),
C,180,C4746.5,-72,S,-70.0,W,Antarctica,,Alexander Island,Upper,Jurassic,Kimmeridgian-Albian,L. Cretaceous,Coals,Fossil Bluff Group,,"Macdonald,Francis(1992)",
C,181,C4747,-70,S,75.0,E,Antarctica,,Prydz Bay,Lower,Cretaceous,,,Coals,,"borehole (DSDP Site 741) ""thin coals"", although the DSDP report cites Coaly fragments","Macdonald,Francis(1992)",
C,182,C4749,40,N,105.0,E,Asia,China,N. China: Wujiu Coal Basin in N.eastern Neimongol,Lower,Cretaceous,,,Coals,,,"Ren Shou-qin,Chen Fen(1989)",
C,183,C4750,41,N,108.5,E,Asia,China,N. China:Wulate Banner-Guyang,Lower,Cretaceous,,,Coals,Guyang Group,,Compiling Grp of the Regional Stratagraphic Chart of Inner Mongolia(Nei Mongol)(1978),
C,184,C4751,42,N,113.0,E,Asia,China,N. China:Chahaer Banner,Lower,Cretaceous,,,Coals,,,Compiling Grp of the Regional Stratagraphic Chart of Inner Mongolia(Nei Mongol)(1978),
C,185,C4752,43,N,112.0,E,Asia,China,N. China:Sunite Banner,Lower,Cretaceous,,,Coals,,,Compiling Grp of the Regional Stratagraphic Chart of Inner Mongolia(Nei Mongol)(1978),
C,186,C4753,43,N,115.5,E,Asia,China,"N. China:Zhenxiangbai Banner,Zhenlan Banner",Lower,Cretaceous,,,Coals,,,Compiling Grp of the Regional Stratagraphic Chart of Inner Mongolia(Nei Mongol)(1978),
C,187,C4754,45.5,N,117.0,E,Asia,China,N. China:East Uzhumuxing Banner,Lower,Cretaceous,,,Coals,,,Compiling Grp of the Regional Stratagraphic Chart of Inner Mongolia(Nei Mongol)(1978),
C,188,C4755,45,N,117.5,E,Asia,China,N. China:West Wuzhumuxing Banner,Lower,Cretaceous,,,Coals,,,Compiling Grp of the Regional Stratagraphic Chart of Inner Mongolia(Nei Mongol)(1978),
C,189,C4756,43.5,N,126.0,E,Asia,China,N. China:Shaungyang,Lower,Cretaceous,,,Coals,Yehe,,Compiling Grp of the Regional Stratagraphic Chart of Jilin(1978),
C,190,C4757,43.5,N,127.0,E,Asia,China,N. China:Jiaohe,Lower,Cretaceous,,,Coals,Moshilazi,,Compiling Grp of the Regional Stratagraphic Chart of Jilin(1978),
C,191,C4758,42,N,119.0,E,Asia,China,N. China:Yuanbaoshan,Lower,Cretaceous,,,Coals,Sunjiawen,,Compiling Grp of the Regional Stratagraphic Chart of Liaoning(1978),"see also Wu Chong-long et al., 1992, and Zhu Guo-xin,Zhang Shi-cai, 1992"
C,192,C4759,42,N,121.5,E,Asia,China,N. China:Fuxin,Lower,Cretaceous,,,Coals,Sunjiawen,,Compiling Grp of the Regional Stratagraphic Chart of Liaoning(1978),"see also Wu Chong-long et al., 1992, and Zhu Guo-xin,Zhang Shi-cai, 1993"
C,193,C4760,44,N,114.0,E,Asia,China,N. China:Wunite East Banner,Lower,Cretaceous,,,Coals,Bayenhua,,Liu Yu-qiang(1988),
C,194,C4760.1,33.8,N,109.9,E,Asia,China,"N. China:Shangxian, Shaanxi",Lower,Cretaceous,,,Coals,Fengjiashan,,"Chen Pei-ji,Yaun Feng-tian(1993)",
C,195,C4760.2,41,N,107.0,E,Asia,China,N. China:northeastern Ordos,Lower,Cretaceous,,,Coals,,,"Chen Pei-ji(written comm.,1997)",
C,196,C4760.3,47.5,N,130.0,E,Asia,China,N. China:Hokang(sic. Hegang),Lower,Cretaceous,Berremian,"formerly assigned to L Jurassic, but Chen Pei-ji (oral comm., 1997)has age change ",Coals,,,Petroconsultants(1977),
C,197,C4760.4,45,N,130.0,E,Asia,China,N. China:Chihsi(sic. Jixi),Lower,Cretaceous,Berremian,"formerly assigned to L Jurassic, but Chen Pei-ji (oral comm., 1997)has age change ",Coals,,,Petroconsultants(1977),
C,198,C4760.5,47.3,N,130.0,E,Asia,China,N. China:Hegang,Lower,Cretaceous,Berremian,"formerly assigned to L Jurassic, but Chen Pei-ji (oral comm., 1997)has age change ",Coals,,Hegang Coal field,Beijing Acad. Of Coal Sci(1959),
C,199,C4760.6,47,N,131.0,E,Asia,China,N. China:Shuanyashan,Lower,Cretaceous,Berremian,"formerly assigned to L Jurassic, but Chen Pei-ji (oral comm., 1997)has age change ",Coals,Jixi,Shuanyashan Coal field,Beijing Acad. Of Coal Sci(1959),
C,200,C4760.7,45,N,131.0,E,Asia,China,N. China:Jixi,Lower,Cretaceous,Berremian,"formerly assigned to L Jurassic, but Chen Pei-ji (oral comm., 1997)has age change ",Coals,Jixi,Jixi Coal field,Beijing Acad. Of Coal Sci(1959),
C,201,C4760.8,43,N,127.0,E,Asia,China,N. China:Jiaohe,Lower,Cretaceous,Berremian,"formerly assigned to L Jurassic, but Chen Pei-ji (oral comm., 1997)has age change ",Coals,,Jiaohe Coal field,Beijing Acad. Of Coal Sci(1959),
C,202,C4760.9,42,N,121.5,E,Asia,China,"N. China:Peipiao(sic. Beipiao),  Fushin(sic. Fuxin) ",Lower,Cretaceous,Berremian,"formerly assigned to L Jurassic, but Chen Pei-ji (oral comm., 1997)has age change ",Coals,,,Petroconsultants(1977),
C,203,C4760.10,42,N,122.0,E,Asia,China,N. China:Fuxin,Lower,Cretaceous,Berremian,"formerly assigned to L Jurassic, but Chen Pei-ji (oral comm., 1997)has age change ",Coals,,Fuxin Coal field,Beijing Acad. Of Coal Sci(1959),
C,204,C4760.11,39.5,N,111.0,E,Asia,China,N. China:Jungeer Banner,Lower,Cretaceous,Berremian,"formerly assigned to L Jurassic, but Chen Pei-ji (oral comm., 1997)has age change ",Coals,Lamawen,,Wang Si-en(1985),
C,205,C4760.12,34.5,N,112.0,E,Asia,China,N. China:Mianchi-Yima area,Lower,Cretaceous,Berremian,"formerly assigned to L Jurassic, but Chen Pei-ji (oral comm., 1997)has age change ",Coals,Yima,,Wang Si-en(1985),
C,206,C4760.13,45.5,N,132.0,E,Asia,China,N. China:Mishan,Lower,Cretaceous,Berremian,"formerly assigned to L Jurassic, but Chen Pei-ji (oral comm., 1997)has age change ",Coals,Yunshan,,Wang Si-en(1985),
C,207,C4760.14,45,N,131.0,E,Asia,China,N. China:Jixi,Lower,Cretaceous,Berremian,"formerly assigned to L Jurassic, but Chen Pei-ji (oral comm., 1997)has age change ",Coals,Dedao,,Wang Si-en(1985),
C,208,C4760.15,46,N,133.0,E,Asia,China,N. China:Wandashan,Lower,Cretaceous,Berremian,"formerly assigned to L Jurassic, but Chen Pei-ji (oral comm., 1997)has age change ",Coals,Zhushan,,Gu Zhiwei(1982),
C,209,C4760.16,45,N,131.0,E,Asia,China,N. China:Jixi,Lower,Cretaceous,Berremian,"formerly assigned to L Jurassic, but Chen Pei-ji (oral comm., 1997)has age change ",Coals,"Dedao,Chengzihe,Muling",,Gu Zhiwei(1982),
C,210,C4760.17,41,N,123.5,E,Asia,China,N. China:Taizhe,Lower,Cretaceous,Berremian,"formerly assigned to L Jurassic, but Chen Pei-ji (oral comm., 1997)has age change ",Coals,Damingshan,,Gu Zhiwei(1982),
C,211,C4760.18,44,N,114.5,E,Asia,China,N. China:Xilingol Meng,Lower,Cretaceous,Berremian,"formerly assigned to L Jurassic, but Chen Pei-ji (oral comm., 1997)has age change ",Coals,Bayanhua,,Gu Zhiwei(1982),
C,212,C4760.19,41,N,110.0,E,Asia,China,N. China:Yinshan-Daqingshan,Lower,Cretaceous,Berremian,"formerly assigned to L Jurassic, but Chen Pei-ji (oral comm., 1997)has age change ",Coals,Guyang Group,,Gu Zhiwei(1982),
C,213,C4760.20,44,N,126.0,E,Asia,China,N. China:Yingcheng,Lower,Cretaceous,Berremian,"formerly assigned to L Jurassic, but Chen Pei-ji (oral comm., 1997)has age change ",Coals,Shahezi,,Jin Hui-ling(1990),
C,214,C4514,33,N,107.0,E,Asia,China,S. China:Meinxian,Lower,Cretaceous,Berremian,"formerly assigned to L Jurassic, but Chen Pei-ji (oral comm., 1997)has age change ",Coals,Meinxian,,Wang Si-en(1985),
C,215,C4515,35,N,117.0,E,Asia,China,S. China:Weishan,Lower,Cretaceous,Berremian,"formerly assigned to L Jurassic, but Chen Pei-ji (oral comm., 1997)has age change ",Coals,Fengshuiling,also Gypsum,Guo Zong-tai(1991),
C,216,C4515.1,11.5,N,116.8,E,Asia,China,"S. China:Liyue Beach, South China Sea",Lower,Cretaceous,Berremian,"formerly assigned to L Jurassic, but Chen Pei-ji (oral comm., 1997)has age change ",Coals,,S. China Sea in a borehole,Wu Hao-ruo et al.(2001),
C,217,C4761,11.5,N,116.8,E,Asia,China,"Xizang:Bomi subregion, Lhasa region",Lower,Cretaceous,,U. Jurassic,Coals,,,"Taner, Meyerhoff(1990, Table 5)",
C,218,C4762,49,N,86.0,E,Asia,C.I.S(frm USSR),Targabatoi,Lower,Cretaceous,,,Coals,,,"Mccabe,Parrish(1992)",
C,219,C4764,54,N,125.0,E,Asia,C.I.S(frm USSR),Amur Basin,Lower,Cretaceous,Neocomian,,Coals,,,Krassilov(1992),
C,220,C4765,50,N,130.0,E,Asia,C.I.S(frm USSR),Zeja-Burejan Basin,Lower,Cretaceous,Hauterivian-Albian,,Coals,,,Krassilov(1992),
C,221,C4766,51,N,134.0,E,Asia,C.I.S(frm USSR),Burejan Basin,Lower,Cretaceous,U.Neocomian-Albian,,Coals,Urgalian,,Krassilov(1992),
C,222,C4767,44,N,133.0,E,Asia,C.I.S(frm USSR),Partisansk Basin,Lower,Cretaceous,pre-Albian,,Coals,,,Krassilov(1992),
C,223,C4768,45,N,132.0,E,Asia,C.I.S(frm USSR),Resdolninsk Basin,Lower,Cretaceous,,,Coals,,,Krassilov(1992),
C,224,C4771,55,N,123.0,E,Asia,C.I.S(frm USSR),"Nyukzhinskoye, Amur",Lower,Cretaceous,,,Coals,,,Petroconsultants(1977)
C,225,C4772,54,N,124.0,E,Asia,C.I.S(frm USSR),"Magdagachi, Amur",Lower,Cretaceous,,,Coals,,,Petroconsultants(1977)
C,226,C4773,53,N,125.0,E,Asia,C.I.S(frm USSR),"Beitonovo, Amur",Lower,Cretaceous,,,Coals,,,Petroconsultants(1977)
C,227,C4774,53,N,126.0,E,Asia,C.I.S(frm USSR),"Olginsk, Amur",Lower,Cretaceous,,,Coals,,,Petroconsultants(1977)
C,228,C4775,54,N,129.0,E,Asia,C.I.S(frm USSR),"Verknezeyskaya, Amur",Lower,Cretaceous,,,Coals,,,Petroconsultants(1977)
C,229,C4776,53,N,128.0,E,Asia,C.I.S(frm USSR),"Depskaya, Amur",Lower,Cretaceous,,,Coals,,,Petroconsultants(1977)
C,230,C4777,53,N,133.0,E,Asia,C.I.S(frm USSR),"Gerbikano-Ogodzhinshaya, Amur",Lower,Cretaceous,,,Coals,,,Petroconsultants(1977)
C,231,C4778,54,N,134.0,E,Asia,C.I.S(frm USSR),"Uda, Khabarovsk",Lower,Cretaceous,,,Coals,,,Petroconsultants(1977)
C,232,C4779,51,N,133.0,E,Asia,C.I.S(frm USSR),"Bureya, Khabarovsk",Lower,Cretaceous,,,Coals,,,Petroconsultants(1977)
C,233,C4780,50,N,133.0,E,Asia,C.I.S(frm USSR),"Tyrminskaya, Khabarovsk",Lower,Cretaceous,,,Coals,,,Petroconsultants(1977)
C,234,C4781,43,N,133.0,E,Asia,C.I.S(frm USSR),"Suchan, Primorye",Lower,Cretaceous,,,Coals,,,Petroconsultants(1977)
C,235,C4782,67,N,146.0,E,Asia,C.I.S(frm USSR),"Zyrianka, Yakutsk",Lower,Cretaceous,,,Coals,,,Petroconsultants(1977)
C,236,C4783,51,N,110.0,E,Asia,C.I.S(frm USSR),"Khalyartinskoye, Chita",Lower,Cretaceous,,,Coals,,,Petroconsultants(1977)
C,237,C4784,52,N,113.0,E,Asia,C.I.S(frm USSR),Tataurovskoye Chita,Lower,Cretaceous,,,Coals,,,Petroconsultants(1977)
C,238,C4785,52,N,117.0,E,Asia,C.I.S(frm USSR),"Arbagaro-Kholboiskoye, Chita",Lower,Cretaceous,,,Coals,,,Petroconsultants(1977)
C,239,C4786,50,N,131.0,E,Asia,C.I.S(frm USSR),"Kharanovskoye, Chita",Lower,Cretaceous,,,Coals,,,Petroconsultants(1977)
C,240,C4787,44,N,131.0,E,Asia,C.I.S(frm USSR),"Upper Suyfun, Primorye",Lower,Cretaceous,,,Coals,,,Petroconsultants(1977),
C,241,C4788,44,N,132.0,E,Asia,C.I.S(frm USSR),"Lipoveck, Primorye",Lower,Cretaceous,,,Coals,,,Petroconsultants(1977),
C,242,C4789,44,N,132.0,E,Asia,C.I.S(frm USSR),"Ussurisk, Primorye",Lower,Cretaceous,,,Coals,,,Petroconsultants(1977),
C,243,C4790,60,N,136.0,E,Asia,C.I.S(frm USSR),Lena Basin,Lower,Cretaceous,,,Coals,,,Petroconsultants(1977),
C,244,C4791,66,N,63.0,E,Asia,C.I.S(frm USSR),North Sosva Basin,Lower,Cretaceous,Barremian / Aptian,,Coals,Severososvinskaya Suite,,The Rijks Geologische Dienst(1982),
C,245,C4792,50.2,N,79.2,E,Asia,C.I.S(frm USSR),Irtysh Coalfields ,Lower,Cretaceous,Aptian,,Coals,Linkovskaya Suite,,The Rijks Geologische Dienst(1982),
C,246,C4793,42,N,60.0,E,Asia,C.I.S(frm USSR),Bukhara Region,Lower,Cretaceous,Neocomian to Apt/Alb,,Coals,,,The Rijks Geologische Dienst(1982),
C,247,C4794,50,N,117.0,E,Asia,C.I.S(frm USSR),Daurskoye Coalfield,Lower,Cretaceous,Neocomian to Apt/Alb,,Coals,Kutinskaya Suite,,The Rijks Geologische Dienst(1982),
C,248,C4795,52,N,106.0,E,Asia,C.I.S(frm USSR),Ulug-Khem Basin,Lower,Cretaceous,Berriasian,,Coals,Bomskaya Suite,,The Rijks Geologische Dienst(1982),
C,249,C4796,51,N,106.0,E,Asia,C.I.S(frm USSR),Gusinoozerskoye Coalfield,Lower,Cretaceous,Berriasian,,Coals,Gusinoozerskoye Suite,,The Rijks Geologische Dienst(1982),
C,250,C4797,50.7,N,108.0,E,Asia,C.I.S(frm USSR),Okino-Kluyevskoye Coalfield,Lower,Cretaceous,Berriasian,,Coals,Selenginskaya Suite,,The Rijks Geologische Dienst(1982),
C,251,C4798,51,N,109.0,E,Asia,C.I.S(frm USSR),Krasnochikoyeskoye Coalfield,Lower,Cretaceous,Berriasian,,Coals,Chikoyskaya Suite,,The Rijks Geologische Dienst(1982),
C,252,C4799,54.5,N,114.0,E,Asia,C.I.S(frm USSR),Elandinskoye Coalfield,Lower,Cretaceous,Berriasian,,Coals,Gusinoozerskaya Suite,,The Rijks Geologische Dienst(1982),
C,253,C4800,56,N,117.0,E,Asia,C.I.S(frm USSR),Kalarskoye Coalfield,Lower,Cretaceous,Berriasian,,Coals,Gusinoozerskaya Suite,,The Rijks Geologische Dienst(1982),
C,254,C4801,54,N,117.0,E,Asia,C.I.S(frm USSR),Verkhneneruinskaya Area,Lower,Cretaceous,Berriasian,,Coals,Gusinoozerskaya Suite,,The Rijks Geologische Dienst(1982),
C,255,C4802,51.3,N,109.0,E,Asia,C.I.S(frm USSR),Tarbagatayskoye Coalfield,Lower,Cretaceous,Valanginian to Aptian,,Coals,"Subsuites: Khilokskaya,(see also)",,The Rijks Geologische Dienst(1982),"Novopavloskaya,Tigninskaya,Zugmarskaya,Shebartuyskaya,Targabatayskaya"
C,256,C4803,49.3,N,112.0,E,Asia,C.I.S(frm USSR),Mordayskoye Coalfield,Lower,Cretaceous,Valanginian to Aptian,,Coals,Tigninskaya Suite,,The Rijks Geologische Dienst(1982),
C,257,C4804,51.3,N,113.0,E,Asia,C.I.S(frm USSR),Tataurovskoye Coalfield,Lower,Cretaceous,Valanginian to Aptian,,Coals,Tigninskaya Suite,,The Rijks Geologische Dienst(1982),
C,258,C4805,52,N,113.0,E,Asia,C.I.S(frm USSR),Chernnovskoye Coalfield,Lower,Cretaceous,Valanginian to Aptian,,Coals,Chernovskaya Suite,,The Rijks Geologische Dienst(1982),
C,259,C4806,52,N,116.0,E,Asia,C.I.S(frm USSR),Arbagaro-Kholboiskoye Coalfield,Lower,Cretaceous,Valanginian to Aptian,,Coals,"Arbagarskaya,Mirsanovskaya Suites",,The Rijks Geologische Dienst(1982),
C,260,C4807,50.25,N,116.5,E,Asia,C.I.S(frm USSR),Kharanorskoye Coalfield,Lower,Cretaceous,Valanginian to Aptian,,Coals,Kutinskaya Suite,,The Rijks Geologische Dienst(1982),
C,261,C4808,50,N,119.0,E,Asia,C.I.S(frm USSR),Priozernoye Coalfield,Lower,Cretaceous,Valanginian to Aptian,,Coals,Kutinskaya Suite,,The Rijks Geologische Dienst(1982),
C,262,C4809,56,N,132.0,E,Asia,C.I.S(frm USSR),Ogodzhinskoye Coalfield,Lower,Cretaceous,Valanginian to Aptian,,Coals,Ogodzhinskaya Suite,,The Rijks Geologische Dienst(1982),
C,263,C4810,64,N,166.0,E,Asia,C.I.S(frm USSR),Verkhnepenzhinskaya Coal-bearing area,Lower,Cretaceous,Valanginian to Aptian,,Coals,Ogodzhinskaya Suite,,The Rijks Geologische Dienst(1982),
C,264,C4811,68,N,123.0,E,Asia,C.I.S(frm USSR),Lena Coal Basin,Lower,Cretaceous,Valanginian to Aptian,,Coals,Ogodzhinskaya Suite,,The Rijks Geologische Dienst(1982),
C,265,C4812,72,N,120.0,E,Asia,C.I.S(frm USSR),Nizhneolenekskaya Area,Lower,Cretaceous,Valanginian to Aptian,,Coals,"Suites: Khairgasskya, Kigilyakhskaya(see also)",,The Rijks Geologische Dienst(1982),"Kyussyurskaya,Chonkogorskaya,Bulunskaya,Bakhskaya,,Ogoner-Yurakhskaya,Lukumayskaya,Ukinskaya,Meng-Yuryakhskaya,Chinkogorskaya"
C,266,C4813,70,N,126.0,E,Asia,C.I.S(frm USSR),Bulunskiy Region,Lower,Cretaceous,Valanginian to Aptian,,Coals,"Suites: Kyussyurskaya,Chinkogorskaya(see also)",,The Rijks Geologische Dienst(1982),"Bulunskaya,Bakhskaya,Ogoner-Yuryakhskaya"
C,267,C4814,66,N,123.0,E,Asia,C.I.S(frm USSR),Zhiganskiy Region,Lower,Cretaceous,Berriasian to Aptian,,Coals,"Suites: Yngyrskaya,Chongurskaya(see also)",,The Rijks Geologische Dienst(1982),"Eksenyakhskaya,Khatyrykskaya"
C,268,C4815,64,N,126.0,E,Asia,C.I.S(frm USSR),Begidzhanskiy Coal-bearing region,Lower,Cretaceous,Berriasian to Aptian,,Coals,"Suites: Batylykhskaya,Eksenyakhskaya(see also)",,The Rijks Geologische Dienst(1982),Khatrykhskaya
C,269,C4816,64,N,129.0,E,Asia,C.I.S(frm USSR),Chechumskoye Coalfield,Lower,Cretaceous,Berriasian to Aptian,,Coals,"Suites: Chongurgaskaya,Yngyrskaya",,The Rijks Geologische Dienst(1982),
C,270,C4817,64,N,127.5,E,Asia,C.I.S(frm USSR),Sangarskoye Coalfield,Lower,Cretaceous,Berriasian to Aptian,,Coals,"Suites: Yngyrskaya,Chongurgaskaya",,The Rijks Geologische Dienst(1982),
C,271,C4818,64,N,138.0,E,Asia,C.I.S(frm USSR),Khandygaskiy Region,Lower,Cretaceous,Berriasian to Aptian,,Coals,"Suites: Batylykhskaya,Eksenyakhskaya",,The Rijks Geologische Dienst(1982),
C,272,C4819,62.3,N,136.0,E,Asia,C.I.S(frm USSR),Dzherbariki-Khaya Region,Lower,Cretaceous,Berriasian to Berremian,,Coals,Batylykhskaya Suite,,The Rijks Geologische Dienst(1982),
C,273,C4820,62.3,N,130.0,E,Asia,C.I.S(frm USSR),Kangalasskiy Region,Lower,Cretaceous,Berriasian to Berremian,,Coals,Batylykhskaya Suite,,The Rijks Geologische Dienst(1982),
C,274,C4821,63.3,N,130.0,E,Asia,C.I.S(frm USSR),Kangalasskoye Region,Lower,Cretaceous,Berriasian to Berremian,,Coals,Batylykhskaya Suite,,The Rijks Geologische Dienst(1982),
C,275,C4822,56,N,126.0,E,Asia,C.I.S(frm USSR),South Yakutsk Basin,Lower,Cretaceous,Berriasian to Berremian,,Coals,"Suites: Karaulovskaya,Nagorninskaya(see also)",,The Rijks Geologische Dienst(1982),Kholodnikanskaya
C,276,C4823,56,N,122.0,E,Asia,C.I.S(frm USSR),South Yakutsk Basin,Lower,Cretaceous,Berriasian to Berremian,,Coals,"Suites: Karaulovskaya,Nagorninskaya(see also)",,The Rijks Geologische Dienst(1982),Kholodnikanskaya
C,277,C4824,56,N,124.0,E,Asia,C.I.S(frm USSR),South Yakutsk Basin,Lower,Cretaceous,Berriasian to Berremian,,Coals,"Suites: Karaulovskaya,Nagorninskaya(see also)",,The Rijks Geologische Dienst(1982),Kholodnikanskaya
C,278,C4825,56,N,126.0,E,Asia,C.I.S(frm USSR),South Yakutsk Basin,Lower,Cretaceous,Berriasian to Berremian,,Coals,"Suites: Karaulovskaya,Nagorninskaya(see also)",,The Rijks Geologische Dienst(1982),Kholodnikanskaya
C,279,C4826,56,N,128.0,E,Asia,C.I.S(frm USSR),South Yakutsk Basin,Lower,Cretaceous,Berriasian to Berremian,,Coals,"Suites: Karaulovskaya,Nagorninskaya(see also)",,The Rijks Geologische Dienst(1982),Kholodnikanskaya
C,280,C4827,56,N,130.0,E,Asia,C.I.S(frm USSR),South Yakutsk Basin,Lower,Cretaceous,Berriasian to Berremian,,Coals,"Suites: Karaulovskaya,Nagorninskaya(see also)",,The Rijks Geologische Dienst(1982),Kholodnikanskaya
C,281,C4828,56,N,126.0,E,Asia,C.I.S(frm USSR),Aldan-Chulman Region,Lower,Cretaceous,Berriasian to Berremian,,Coals,Kholodnikanskaya,,The Rijks Geologische Dienst(1982),
C,282,C4829,56,N,132.0,E,Asia,C.I.S(frm USSR),Toko Region,Lower,Cretaceous,Berriasian to Berremian,,Coals,Kholodnikanskaya,,The Rijks Geologische Dienst(1982),
C,283,C4830,56,N,126.0,E,Asia,C.I.S(frm USSR),Gonam Region,Lower,Cretaceous,Berriasian to Berremian,,Coals,"Suites;Karaulovskaya,Undytkanskaya",,The Rijks Geologische Dienst(1982),
C,284,C4831,66,N,144.0,E,Asia,C.I.S(frm USSR),Momskiy Region,Lower,Cretaceous,Berriasian to Berremian,,Coals,Silyapskaya Suite,,The Rijks Geologische Dienst(1982),
C,285,C4832,66,N,150.0,E,Asia,C.I.S(frm USSR),Zyryanka Region,Lower,Cretaceous,Berriasian to Berremian,,Coals,Buorkemyusskaya Suite,,The Rijks Geologische Dienst(1982),
C,286,C4833,66.5,N,150.0,E,Asia,C.I.S(frm USSR),Silyanskiy Region,Lower,Cretaceous,Berriasian to Berremian,,Coals,"Suites: Ozhoginnskaya,Buorkemyusskaya(see also)",,The Rijks Geologische Dienst(1982),Silyapskaya
C,287,C4834,68,N,156.0,E,Asia,C.I.S(frm USSR),Zyryanka Basin,Lower,Cretaceous,Berriasian to Berremian,,Coals,"Suites: Silyapskaya,Ozhoginskaya",,The Rijks Geologische Dienst(1982),Buorkemyusskaya
C,288,C4835,68,N,162.0,E,Asia,C.I.S(frm USSR),Kameshkovskaya Area,Lower,Cretaceous,Berriasian to Berremian,,Coals,"Suites: Silyapskaya,Ozhoginskaya",,The Rijks Geologische Dienst(1982),
