LithologyCode,LithNumber,OldIDNumber,LAT,NS,LONG,EW,Continent,Country,GeogComments,LMU,Period,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso, 
E,65,E4665,23,N,-98.0,W,North America,Tamaulipas,,Lower,Cretaceous,,,Evaporite,,,Salas(1968a),see also Wilson(1990)
E,66,E4668,22,N,-99.0,W,North America,Tamaulipas,,Lower,Cretaceous,,,Evaporite,Guaxcama,,"Minero(1983,1987)",
E,67,E4666,2,N,-90.0,W,North America,Yucatan Peninsula,,Lower,Cretaceous,Aptian-Albian,,Evaporite,,,"Claypool et al.(1980, Appendix)",
E,68,E4669,31,N,-80.0,W,North America,United States,East Coast offshore,Lower,Cretaceous,Valanginian-Albian,,Evaporite,,,Rhodehamel(1979) and Poag and Hall(1979),Poag(1991) revises this to Berriasian-Valanginian
E,69,E4669.1,30.5,N,-80.5,W,North America,United States,East Coast offshore,Lower,Cretaceous,,,Gypsum,,from the COST GE-1 Well,Scholle(1979),
E,70,E4670,32,N,-86.0,W,North America,United States,Alabama,Lower,Cretaceous,,,Anhydrite,Ferry Lake Anhydrite,,Johnson et al.(1989),
E,71,E4670.1,37,N,-109.0,W,North America,United States,"Colorado, Four Corners region",Upper,Jurassic,,,Evaporite,Morrison(Bushy Mountian Member),evaporitic lakesbeds,"Turner,Fishman(1991)",Mateer et al.(1992) places this member as high(check age) I.e. coal nearby Valanginian as well in the later Jurassic
E,72,E4671,27,N,-82.0,W,North America,United States,"Florida, southern Florida",Lower,Cretaceous,,,Evaporite,"Lake Trafford, Sunniland Limestone",,Halley(1985),
E,73,E4673,31,N,-90.0,W,North America,United States,Mississippi,Lower,Cretaceous,,,Anhydrite, Ferry Lake Anhydrite ,,Johnson et al.(1989),
E,74,E4674,29,N,-98.0,W,North America,United States,"Texas, south Texas",Lower,Cretaceous,,,Evaporite,,,"Sheu,Burkhart(1982)",
E,75,E4675,30,N,-95.0,W,North America,United States,"Texas, east Texas",Lower,Cretaceous,,,Anhydrite,Ferry Lake Anhydrite,,"Loucks,Longman(1982)",
E,76,E4676,5,N,-103.5,W,North America,United States,Texas,Lower,Cretaceous,,,Evaporite,Bissett,trona,"Wilcox,Rohr(1996)","see also Wilcox(1989, pp. 52-55)"
E,77,E4677,-38,S,-70.0,W,South America,Argentina,Neuquen Province,Lower,Cretaceous,"Tithonian, Berremian",U. Jurassic,Evaporite,,,"Benavides(1968, Fig. 6, pp. 268-270)",
E,78,E4678,-28,S,-70.0,W,South America,Argentina,southeast Mendoza and Neuquen Province,Lower,Cretaceous,Berriasian-Aptian,,Gypsum,Huitrin,,Riccardi(1988),
E,79,E4678.2,-32,S,-65.0,W,South America,Argentina,Sierra de Cordoba,Lower,Cretaceous,,,Evaporite,,,Schmidt et al.(1995),
E,80,E4678.4,-30.1,S,-67.5,W,,,,,,,,,,,,
E,81,E4678.5,-33,S,-66.0,W,,,,,,,,,,,,
E,82,E4678.3,-47.5,S,-72.0,W,South America,Argentina,Patagonia,Lower,Cretaceous,Hauterivian-Barremian,,Evaporite,,,"Ottone,Aguirre-Urreta(2000)",
E,83,E4678.6,-35,S,-64.0,W,,,,,,,,,,,,
E,84,E4679,-10,S,-37.0,W,South America,Brazil,off the  coast from Sergipe ,Lower,Cretaceous,Aptian,,Evaporite,,,"Rona(1982, Table 1)","Alagoas Evaporite, Liro,Dawson,2000"
E,85,E4680,-23,S,-42.0,W,South America,Brazil,south to the Campos Basin,Lower,Cretaceous,Aptian,,Evaporite,,,"Rona(1982, Table 1)",
E,86,E4681,-25,S,-45.0,W,South America,Brazil,Sao Paulo Plateau,Lower,Cretaceous,Aptian,,Evaporite,,,"Rona(1982, Table 1)",
E,87,E4683,-7,S,-40.0,W,South America,Brazil,,Lower,Cretaceous,Aptian-Albian,,Evaporite,Santana,lacustrine evaporite,Grimaldi(1990),"see also Martill(1993), Crato and Ipubi formations"
E,88,E4683.1,-5,S,-45.0,W,South America,Brazil,,Lower,Cretaceous,,,Evaporite,,lacustrine evaporite,"Rossetti,Goes(2000)",
E,89,E4683.2,-31,S,-50.0,W,South America,Brazil,Pelotas Basin,Lower,Cretaceous,Aptian,,Evaporite,,,Coward et al.(1999),"Dias et al., (1994) indicate that the Pelotas Basin evaporite is mostly Neoaptian, Alagoas, which includes vaery early Albian"
E,90,E4683.14,-14,S,-38.0,W,,,,,,,,,,,,
E,91,E4683.3,-18,S,-46.0,W,South America,Brazil,,Lower,Cretaceous,,L. Jurassic,Sandstone,Botucatu,eolian sandstone,Scherer(2000),
E,92,E4683.4,-32,S,-58.0,W,South America,Brazil,,Lower,Cretaceous,,L. Jurassic,Sandstone,Botucatu,eolian sandstone,Scherer(2000),
E,93,E4683.5,-22,S,-40.0,W,South America,Brazil,Campos Basin,Lower,Cretaceous,,,Evaporite,Lagoa Feia(Retiro Member),,Rangel et al.(1994),
E,94,E4683.6,-2,S,-46.0,W,South America,Brazil,Sao Luis Basin,Lower,Cretaceous,Neoaptian,,Anhydrite,Codo,anhydrite beds,Lima et al.(1994),
E,95,E4683.7,-24,S,-45.0,W,South America,Brazil,Santos Basin,Lower,Cretaceous,Neoaptian,,Evaporite,Ariri,,"Pereira,Feijo(1994)",
E,96,E4683.8,-4,S,-44.0,W,South America,Brazil,Parnaiba Basin,Lower,Cretaceous,Neoaptian,,Anhydrite,Codo,,"Goes,Feijo(1994)",
E,97,E4683.9,-13,S,-39.0,W,South America,Brazil,Camamu and Almada Basins,Lower,Cretaceous,Aptian,,Evaporite,Taipus-Mirim,,Netto et al.(1994),
E,98,E4683.10,-16,S,-39.0,W,South America,Brazil,Cumuruxatiba and Jequitinhonha Basins,Lower,Cretaceous,Aptian,,Evaporite,Mariricu(Itaunas Member),,Santos et al.(1994),
E,99,E4683.11,-18,S,-40.0,W,South America,Brazil,Espirito Santo-Mucuri Basins,Lower,Cretaceous,Aptian,,Evaporite,Mariricu(Itaunas Member),,Vieira et al.(1994),
E,100,E4683.12,-28,S,-47.0,W,South America,Brazil,Pelotas Basin,Lower,Cretaceous,Neoaptian,,Evaporite,Ariri,,Dias et al.(1994),
E,101,E4683.13,-10,S,-37.0,W,South America,Brazil,Sergipe and Alagoas  Basins,Lower,Cretaceous,Aptian,,Evaporite,"Muribecca(Ibura Member),Maceio(Paripueira Member)",,Feijo(1994),
