LithologyCode,LithNumber,OldIDNumber,,LAT,NS,LONG,EW,Continent,Country,,GeogComments,LMU,Stage,Period,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
E,38,E36,,29.5,N,104.6,E,Asia,South China,," Weiyuan, Sichuan Prov",Lower,,Cambrian,,Gypsum,Tsingshuitung,Gypsum Beds,Liu et al(1980),
E,39,E37,,27.8,N,103.2,E,Asia,South China,, Jinyang Sichuan Prov,Lower,,Cambrian,,Gypsum,Lungwangmiao,Gypsum Beds,Li Shan-ji(1980),
E,40,E38,,28.2,N,105,E,Asia,South China,," Changning, Sichuan Prov",Lower,,Cambrian,,Gypsum,Tsingshuitung,Gypsum Beds,Li Shan-ji(1980),
E,41,E39,,28.2,N,103.6,E,Asia,South China,," Leipo, Sichuan Prov",Lower,,Cambrian,,Gypsum,Lungwangmiao,Gypsum Beds,Li Shan-ji(1980),
E,42,E40,,21.8,N,102.2,E,Asia,South China,," Huili, Sichuan Prov",Lower,,Cambrian,,Gypsum,Lungwangmiao,Gypsum solution breccia,Li Shan-ji(1980),
E,43,E41,,29.6,N,103.8,E,Asia,South China,, Leshan Sichuan Prov,Lower,,Cambrian,,Gypsum,Lungwangmiao,Gypsum solution breccia,Li Shan-ji(1980),
E,44,E42,,27.8,N,107.5,E,Asia,South China,," Meitan, Guizhou Prov",Lower,,Cambrian,,Gypsum,Tsingshuitung,Gypsum Bed,Li Shan-ji(1980),
E,45,E43,,28.1,N,106.8,E,Asia,South China,, Tongzi Prov,Lower,,Cambrian,,Gypsum,Tsingshuitung,Gypsum Bed,Li Shan-ji(1980),
E,46,E44,,28.4,N,107.3,E,Asia,South China,, Jiuba Guizhou,Lower,,Cambrian,,Gypsum,Tsingshuitung,Gypsum Bed,Li Shan-ji(1980),
E,47,E45,,63,N,112,E,Asia,CIS (USSR),," Siberian Platform, E Siberian Basin ",Lower,,Cambrian,,Evaporite,,,"Zharkov(1981,pp.1-4,Figs11,17)",
E,48,E45.1,,55,N,102,E,Asia,CIS (USSR),," Siberian Platform, E Siberian Basin ",Lower,,Cambrian,,Evaporite,,,"Zharkov(1981,pp.1-4,Figs11,17)",
E,49,E45.2,,63.5,N,90,E,Asia,CIS (USSR),," Siberian Platform, E Siberian Basin ",Lower,,Cambrian,,Evaporite,,,"Zharkov(1981,pp.1-4,Figs11,17)",
E,50,E46,,34,N,57,E,Middle East,Iran,,,Lower,,Cambrian,,Evaporite,Desu Series,,"Reitz,Davoudzadeh (1995)","see also Ruttner et al.,1968)"
E,51,E47,,31,N,56,E,Middle East,Iran,,Zagros,Lower,,Cambrian,,Halite,Lalun,"Salt cast,evaporite pseudomorphs in SS","Hamedi(1995,p.28)",
E,52,E48,,30,N,35,E,Middle East,Israel,,Timna area,Lower,,Cambrian,,Halite,Hakhlil,Salt cast,"Bartura,Wurzburger(1974)",
E,53,E48.1,,29.5,N,72.25,E,Middle East,Pakistan,,"Karaampur, Salt Range",Lower,,Cambrian,,Halite,,At well,Stocklin(1986),
E,54,E49,,26,N,57,E,SW Asia,"Arabia,pt of Asia",,"Straits of Hormuz((Pakistan)),India",Lower,,Cambrian,,Halite,,Hormuz Salt,"Boucot  et al.(1988,p365)","see also Zharkov,1981,p.4,1984,Figs11,17)Shah((1977))"
E,55,E50,,23,N,57.5,E,SW Asia,Arabia,,,Lower,,Cambrian,,Halite,,Hormuz Salt,Stocklin(1968),
E,56,E51,,32.8,N,72.5,E,SW Asia,,,from Arabia east to Salt Range,Lower,,Cambrian,,Halite,,Hormuz Salt,Stocklin(1968),
E,57,E52,,18,N,56,E,SW Asia,"Arabia,Iraq,Iran",,,Lower,,Cambrian,,Evaporite,Ara and equvalents,,"Mattes, Morris(1990,Fig.2)",
E,58,E52.1,,25,N,55,E,SW Asia,"Arabia,Iraq,Iran",,,Lower,,Cambrian,,Evaporite,Ara and equvalents,,"Mattes , Morris",
E,59,E52.2,,30,N,50,E,SW Asia,"Arabia,Iraq,Iran",,,Lower,,Cambrian,,Evaporite,Ara and equvalents,,"Mattes, Morris(1990,Fig.2)",
E,60,E53,,32,N,51,E,SW Asia,"Arabia,Iraq,Iran",,,Lower,,Cambrian,,Evaporite,Ara and equvalents,,"Mattes, Morris(1990,Fig.2)",
E,61,E54,,31,N,58,E,SW Asia,"Arabia,Iraq,Iran",,,Lower,,Cambrian,,Evaporite,Ara and equvalents,,"Mattes, Morris(1990,Fig.2)",
E,62,E54.1,,22,N,56,E,SW Asia,Arabia,,,,,,,,,,,
E,63,E54.2,,21,N,57,E,SW Asia,,,,,,,,,,,,
E,64,E55,,-24,S,133,E,Australia,Northern Territory,,Amadeus Basin,Lower,,Cambrian,,Dolomite,"(Chandler), Todd River Dolmite"," Todd River Dolomite,halite crystal molds ","Kennard , Lindsay (1991)"," see also Kennard et al., 1986, see also Gravestock and Shergold,2001"
E,65,E57,,-20,S,138,E,Australia,Queensland,,Georgina Basin,Lower,,Cambrian,,Dolomite,Red Heart, Red Haeart Dolomite ,Nicolaides(1995),
E,66,E58,,-35,S,138,E, Australia,south,,,Lower,,Cambrian,,Evaporite,Billy Creek,evaporitic material,Moore(1990),
E,67,E56,,-28,S,132,E,Australia,south,,(Officer Basin),Lower,,Cambrian,,Evaporite,"Obsevation Hill, (Ouldburra)",Relief Sandstone,Southgate(1994),"see also Drexel and Preiss, eds., 1995; Jago and Dunster,2002, from Observatory Hill;see also Dervel and Preiss,eds, 1995, p.38 fig of trona psedomorphs frm the Observation Hill and cite magadiite, and their citation of the Cootanoorina Formation"
E,68,E60,,49.5,N,-1.5,W,Europe,France,,Cotentin Peninsula,Lower,,Cambrian,,Halite,,salt casts,Dore(1994),
E,69,E60.1,,44,N,3.5,E,Europe,France,,,Lower,,Cambrian,,Evaporite,Montagne Noire,,Rouchy(1997),"see Alvaro et.,2000, for details"
E,70,E60.2,,52,N,14,E,Europe,Germany,,100km norteast of Leipzig,Lower,,Cambrian,,Evaporite,,sulfate nodules and sabkha evidence,Elicki(written comm. 2002),
E,71,E61,,40,N,9,E,Europe,Italy,,Sardinia,Lower,,Cambrian,,Evaporite,,,"Cocozza, Gandin (1990, p 14, Fig. 6)",
E,72,E62,,43,N,-6,W,Europe,Spain,,,Lower,,Cambrian,,Calcedony,,length slow calcedony frm vry shallow water carbonate rock-poss evaporitic orgin,Zamarreno(1975),
E,73,E63,,41,N,-1.5,W,Europe,Spain,,Iberian Chains,Lower,,Cambrian,,Evaporite,,evaporite pseudomorphs in a marine carbonate sequence,Alvaro et al.(1995),
E,74,E64,,43,N,-7,W,Europe,Spain,,northern,Lower,,Cambrian,,Evaporite,,evaporitic magnessite in metamorphosed rock,"Chaye d' Albisson, Guillou(1988)",
E,75,E59,,57,N,-5,W,Europe,United Kingdom,,northwestern Scotland,Lower,,Cambrian,,Chert,,chert nodules interpreted as psudomorhs after anhydrite  nodules,"Allison, Russell(1985)",
E,76,E65,,73,N,-23,W,N. America,Greenland,,east,Lower,,Cambrian,,Halite,East Greenland Spiral Creek,salt hoppers casts,"Cowie, Adams(1957)",
E,77,E66,,34.5,N,-87,W,N. America,United States,,Alabama-Bibb and Shelby Counties,Lower,,Cambrian,,Anhydrite,Rome,subsurface anhydrite from wells,Raymond(1991),"see also Thomas et al., 2001"
E,78,E67,,37,N,-117,W,N. America,United States,,California-Death Valley region,L - M,,Cambrian,,Halite,Carrara,salt casts,Halley(1975),
E,79,E67.1,,34,N,-89,W,,,,,,,,,,,,,
E,80,E68,,40,N,-78.5,W,N. America,United States,,Pennsylvania-Bedford County,L - M,,Cambrian,,Evaporite,Waynesboro,evaporitic material,Ryder et al.(1992),
E,81,E69,,36.5,N,-86.5,W,N. America,United States,,Tennessee-Grainger County,Lower,,Cambrian,,Halite,Rome,salt casts,Brooks(1955),
E,82,E69.1,,36,N,-84,W,N. America,United States,,Tennessee-Roanne and Anderson Counties,Lower,,Cambrian,,Halite,Rome,salt hoppers ,"McReynolds, Driese(1994)",
E,83,E69.2,,36.5,N,-82.5,W,N. America,United States,,Tennessee-Tazewell County,Lower,,Cambrian,,Evaporite,,evaporite pseudomorphs ,Glumac(2001),
E,84,E70,,-30,S,-68.5,W,S. America,Argentina,,Precordillera,Lower,,Cambrian,,Evaporite,Cerro Totara,Olenellus Zone,"Astini, Vaccari(1996)","see also Astini, 1998; Thomas et al., 2001"
E,85,E71,,-17,S,-66,W,S. America,Bolivia,,Cochabamba region,Lower,,Cambrian,,Evaporite,Cambrian Limbo,also anhydrite in the lower part of the formation,"Benavides(1968, p. 253)",
E,86,E71.1,,-34,S,-55,W,S. America,Uruguay,,,Lower,,Cambrian,,Halite,Cerro Victoria,salt casts,Gaucher(2002),
C,87,CA72,,-35,S,138.5,E,Australia,South Australia,,,Lower,,Cambrian,,Calcrete,Wilkawillina,,Clarke(1990a),
B,88,B73,,52,N,85,E,Asia,CIS (USSR),," Bisk region- southern Siberia, eastern Sayan",Lower,,Cambrian,,Bauxite,,,Sukarina(1997),
B,89,B74,,51,N,88,E,Asia,CIS (USSR),,"Bokson,eastern Sayan",Lower,,Cambrian,,Bauxite,,karst Bauxite,"Bardossy(1982, Appendix 1)",
B,90,B75,,55,N,88,E,Asia,CIS (USSR),,Gornaya Shoriya in the Kuznetsk Alatau,Lower,,Cambrian,,Bauxite,,karst Bauxite,"Bardossy(1982, Appendix 1)",
K,91,K76,,32,N,6,E,Africa,Algeria,,,Lower,,Cambrian,,Sandstones,,dickite and kaolinite from the Hassi Messaoud boreholes ,"Ferrero, Kubler(1964)",
