LithologyCode,LithNumber,OldIDNumber,,LAT,NS,LONG,EW,Continent,Country,,GeogComments,LMU,Period,Series,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
E,20,E711,,38.5,N,83.5,E,Asia,China,,"Tarim,Xijiang,Qinghai:Chimo,Xinjiang",Lower,Carboniferous,Mississippian,Tournaisian,,Gypsum,Bachu,,unpublished data,
E,21,E712,,40.5,N,84.7,E,Asia,China,,"Tarim,Xijiang,Qinghai:south of Luntai",Middle,Carboniferous,Mississippian,Visean,,Gypsum,Bachu,,unpublished data,
E,22,E713,,41.3,N,83.3,E,Asia,China,,"Tarim,Xijiang,Qinghai:Shaya,Xinjiang",Lower,Carboniferous,Mississippian,Tournaisian,,Gypsum,Bachu,,He et al.(1992),
E,23,E714,,41,N,84,E,Asia,China,,"Tarim,Xijiang,Qinghai:Maigaiti,Xinjiang",Lower,Carboniferous,Mississippian,Tournaisian,,Evaporites,Bachu,,He et al.(1992),
E,24,E715,,40.6,N,79.9,E,Asia,China,,"Tarim,Xijiang,Qinghai:Awati,Xinjiang",Lower,Carboniferous,Mississippian,Tournaisian,,Gypsum,Bachu,,Wu(1991),
E,25,E716,,38,N,76.3,E,Asia,China,,"Tarim,Xijiang,Qinghai:Shache,Xinjiang",Lower,Carboniferous,Mississippian,Tournaisian,,Gypsum,Kelitaige,,Wu(1991),
E,26,E717,,42.1,N,85.1,E,Asia,China,,"Tarim,Xijiang,Qinghai:Luntai,Xinjiang",L - M,Carboniferous,Mississippian,"Tournaisian,Visean",,Gypsum,"Yeyungou,Bachu",,Wu(1991),
E,27,E718,,42.1,N,87.5,E,Asia,China,,"Tarim,Xijiang,Qinghai:Heshuo,Xinjiang",Middle,Carboniferous,Mississippian,Visean,,Gypsum,Yeyungou,,Wu(1991),
E,28,E719,,41.7,N,88.5,E,Asia,China,,"Tarim,Xijiang,Qinghai:Turpan,Xinjiang",Middle,Carboniferous,Mississippian,Visean,,Gypsum,Yeyungou,,Wu(1991),
E,29,E720,,41.6,N,88.3,E,Asia,China,,"Tarim,Xijiang,Qinghai:Tokexun,Xinjiang",Middle,Carboniferous,Mississippian,Visean,,Gypsum,Yeyungou,,The Compiling Group of the Regional Stratigraphy Chart of Xinjiang(1981),
E,30,E720.1,,37.5,N,76.25,E,Asia,China,,"Tarim,Xijiang,Qinghai:Kunlun Mountians",Lower,Carboniferous,Mississippian,Tournaisian,,Gypsum,,,"Chen,Shi(1999)",
E,31,E721,,38.8,N,96,E,Asia,China,,"Tarim,Xijiang,Qinghai:Wulan,Qinghai",L - M,Carboniferous,Mississippian,"Tournaisian,Visean",,Gypsum,"Chouniugou,Chengqiangou",,The Bureau of Geology and Mineral Resources of Qinghai Province(1991),
E,32,E722,,39,N,97.1,E,Asia,China,,"Tarim,Xijiang,Qinghai:Tianjun,Qinghai",Middle,Carboniferous,Mississippian,Visean,,Gypsum,"Chouniugou,Chengqiangou",,The Bureau of Geology and Mineral Resources of Qinghai Province(1991),
E,33,E723,,36.4,N,95,E,Asia,China,,"Tarim,Xijiang,Qinghai:Geermu,Xinghai",Middle,Carboniferous,Mississippian,Visean,,Gypsum,Wulonggou,,The Bureau of Geology and Mineral Resources of Qinghai Province(1991),
E,34,E723.1,,41,N,79,E,Asia,China,,"Tarim,Xijiang,Qinghai:from the Biedeier River to Kumalike",Lower,Carboniferous,Mississippian,,,Gypsum,Yeyungou,,"Liang Yun-hai,Li Wen-qian(2000)",
E,35,E724,,37.5,N,105,E,Asia,China,,Chaidam:Zhongwei,Lower,Carboniferous,Mississippian,,,Evaporites,,,Wang Hong-zhen(1985),
E,36,E725,,37,N,105,E,Asia,China,,Chaidam:Jingyuan,Lower,Carboniferous,Mississippian,,,Evaporites,,,Wan Zhen-ji(1990),
E,37,E726,,38,N,96,E,Asia,China,,Chaidam:Erlongbuluke,Lower,Carboniferous,Mississippian,,,Evaporites,,,"The Stratigraphic Team of Qilianshan,Academia Sinica(1958)",
E,38,E727,,39.1,N,95.8,E,Asia,China,,"N. China:Subei,Gansu",Lower,Carboniferous,Mississippian,Tournaisian,,Anhydrites,Chengqianggou,,The Gansu Regional Geological Survey Team(1987),
E,39,E728,,37.1,N,103,E,Asia,China,,"N. China:Tianzhu,Gansu",Lower,Carboniferous,Mississippian,Tournaisian,,Anhydrites,Qianheshan,,The Gansu Regional Geological Survey Team(1987),
E,40,E729,,37.4,N,103.8,E,Asia,China,,"N. China:Jingtai,Gansu",Lower,Carboniferous,Mississippian,Tournaisian,,Anhydrites,Qianheshan,,The Gansu Regional Geological Survey Team(1987),
E,41,E730,,39,N,96.8,E,Asia,China,,"N. China:Subei,Gansu",Middle,Carboniferous,Mississippian,Visean,,Gypsum,Huantuoala,,The Compiling Group of the Regional Stratigraphy Chart of Qinghai(1980),
E,42,E731,,38.8,N,105.7,E,Asia,China,,"N. China:Alax Left Banner,Neimongol",Lower,Carboniferous,Mississippian,Tournaisian,,Gypsum,Qianheshan,,The Bureau of Geology and Mineral Resources of Neimongol Autonomous Region(1991),
E,43,E732,,22.1,N,111.9,E,Asia,China,,S. China:Yangchun,Middle,Carboniferous,Mississippian,,,Gypsum,Zimenqiao,,The Bureau of Geology and Mineral Resources of Guangdong Province(1988),
E,44,E733,,27.1,N,111,E,Asia,China,,"S. China:Longhui,Hunan",Middle,Carboniferous,Mississippian,Visean,,Evaporites,Zimenqiao,solution breccia,Liu Hong-fu et al.(1993),
E,45,E734,,27,N,111.7,E,Asia,China,,"S. China:Qidong,Hunan",Middle,Carboniferous,Mississippian,Visean,,Anhydrites,Zimenqiao,,Liu Hong-fu et al.(1993),
E,46,E735,,27.3,N,111.8,E,Asia,China,,"S. China:Shaidong,Hunan",Middle,Carboniferous,Mississippian,Visean,,Anhydrites,Datang,,The Bureau of Geology and Mineral Resources of Hunan Province(1988),
E,47,E736,,27,N,111.3,E,Asia,China,,"S. China:Shaoyang,Hunan",Middle,Carboniferous,Mississippian,Visean,,Anhydrites,Datang,,The Bureau of Geology and Mineral Resources of Hunan Province(1988),
E,48,E737,,27.4,N,112.2,E,Asia,China,,"S. China:Shuangfeng,Hunan",Middle,Carboniferous,Mississippian,Visean,,Anhydrites,Zimenqiao,,The Bureau of Geology and Mineral Resources of Hunan Province(1988),
E,49,E738,,26.7,N,110.6,E,Asia,China,,"S. China:Wugang,Hunan",Middle,Carboniferous,Mississippian,Visean,,Anhydrites,Zimenqiao,,The Bureau of Geology and Mineral Resources of Hunan Province(1988),
E,50,E739,,27.7,N,111.4,E,Asia,China,,"S. China:Lengshuuijiang,Hunan",Middle,Carboniferous,Mississippian,Visean,,Anhydrites,Zimenqiao,,Liu et al.(1993),
E,51,E740,,26.9,N,114.2,E,Asia,China,,"S. China:Yongxing,Jiangxi",Middle,Carboniferous,Mississippian,Visean,,Anhydrites,Shidengxi,,The Bureau of Geology and Mineral Resources of Jiangxi Province(1984),
E,52,E741,,34,N,119.9,E,Asia,China,,"S. China:Binhai,Jiangxi",Middle,Carboniferous,Mississippian,Visean,,Anhydrites,Kaolishan,,The Bureau of Geology and Mineral Resources of Jiangxi Province(1984),
E,53,E742,,33.2,N,118.8,E,Asia,China,,"S. China:Hongping,Jiangxi",Middle,Carboniferous,Mississippian,Visean,,Evaporites,Kaolishan,,The Bureau of Geology and Mineral Resources of Jiangxi Province(1984),
E,54,E743,,27.1,N,113.9,E,Asia,China,,"S. China:Lianhus,Jiangxi",Middle,Carboniferous,Mississippian,Visean,,Evaporites,Shidengxi,,The Bureau of Geology and Mineral Resources of Jiangxi Province(1984),
E,55,E744,,23.9,N,109.7,E,Asia,China,,"S. China:Xiangzhou,Guangxi",Lower,Carboniferous,Mississippian,Tournaisian,,Gypsum,Yanguan,,The Bureau of Geology and Mineral Resources of Guangxi Province(1985),
E,56,E752,,75,N,99,E,Asia,C. I. S. (frm USSR),,North Siberian,L - M,Carboniferous,Mississippian,"Tournaisian,Visean",,Evaporites,,,"Zharkov(1981, Figs. 9,10,21, pp. 36-42, 113-116)",
E,57,E753,,46,N,72,E,Asia,C. I. S. (frm USSR),,Chu-Sarysu,L - M,Carboniferous,Mississippian,"Tournaisian,Visean",,Evaporites,,,"Zharkov(1981, Figs. 9,10,21, pp. 36-42, 113-116)",
E,58,E754,,42,N,75,E,Asia,C. I. S. (frm USSR),,Mid-Tien Shan Basin,M - U,Carboniferous,Mississippian,"Visean,Serpukhovian",,Evaporites,,,"Zharkov(1981, Figs. 9,10,21, pp. 36-42, 113-116)",
E,59,E755,,52,N,95,E,Asia,C. I. S. (frm USSR),,Tuva,Middle,Carboniferous,Mississippian,,,Evaporites,,analcime bearing lake beds,Buryanova(1960),
E,60,E756,,33,N,78,E,Asia,India,,Spiti,Lower,Carboniferous,Mississippian,Tournaisian,,Gypsum,Lipak,,Bhargava et al.(1991),see also Thakur(1992)
E,61,E757,,32.5,N,77.5,E,Asia,India,,,Lower,Carboniferous,Mississippian,Tournaisian,,Gypsum,Lipak,,Bagati(1983),
E,62,E758,,32,N,78,E,Asia,India,,,Lower,Carboniferous,Mississippian,Tournaisian,,Gypsum,Lipak,,Bagati(1983),
E,63,E759,,32.5,N,77.75,E,Asia,India,,Spiti,Lower,Carboniferous,Mississippian,Tournaisian,,Gypsum,Lipak,,Garznati et al.(1996),
E,64,E759.1,,17,N,105,E,Asia,Iran,,,Lower,Carboniferous,Mississippian,Tournaisian,,Gypsum,Shishtu,,"Yazdi(1999, Fig. 5)",
E,65,E760,,16,N,100.75,E,Asia,Thailand,,,L - M,Carboniferous,Mississippian,,,Evaporites,,,Hite(1973),
E,66,E760.1,,16,N,100.75,E,Asia,Thailand,,Phicit-Nakhon Sawon,L - M,Carboniferous,Mississippian,,,Evaporites,,,Pisutha-Arnond et al.(1997),
E,67,E761,,-24,S,115.25,E,Australia,,,W. Australia:Carnarvon Basin,L - M,Carboniferous,Mississippian,,,Evaporites,Moogooree,,"Radke,Nicoll(1981)",
E,68,E761.1,,-28.75,S,115.25,E,Australia,,,W. Australia:Coolcalalaya Sub-basin,Middle,Carboniferous,Mississippian,"""probable Visean or Namurian""",,Gypsum,,,"Mory,Iasky(1996, p. 11)",
E,69,E762,,54,N,15,E,Europe,"Britain,Poland",,from Britain east to northwestern Poland,L - M,Carboniferous,Mississippian,,,Evaporites,Dinantian,,"Ziegler(1982, Encl. 9)",
E,70,E763,,43.5,N,28.5,E,Europe,Bulgaria,,Dobrudze Basin,L - M,Carboniferous,Mississippian,"Tournaisian,Visean",,Evaporites,,,Petroconsultants(1977),
E,71,E764,,67,N,55,E,Europe,C. I. S. (frm USSR),,Pechora-Novaya Zemlya Basin,Middle,Carboniferous,Mississippian,Visean,,Evaporites,,,"Zharkov(1981, Figs. 9,21, pp. 49,51,52)",
E,72,E765,,50,N,50,E,Europe,C. I. S. (frm USSR),,East European Volga-Ural Basin,L-M-U,Carboniferous,Mississippian,"Tournaisian,Visean,Serpukhovian",,Evaporites,,to the south of coeval Russian Platform coals,"Zharkov(1981, Figs. 9,21, pp. 49,51,52)",
E,73,E766,,51,N,5,E,Europe,"N. France,Belgium",,Belgium,L - M,Carboniferous,Mississippian,,,Evaporites,,,Rouchy(1986)and Rouchy et al.(1987),
E,74,E767,,53,N,-8,W,Europe,Ireland,,,Middle,Carboniferous,Mississippian,Visean,,Evaporites,,,West et al.(1968),
E,75,E768,,54.5,N,-8,W,Europe,Ireland,,Lough Allen Basin,Lower,Carboniferous,Mississippian,Tournaisian,,Evaporites,Kilcoo and Boyle Sandstones,calcretes and evaporites,Philcox et al.(1992),
E,76,E769,,72,N,32,E,Europe,Norway,,Nordkapp Basin,M - U,Carboniferous,Mississippian,Visean-Serpukhovian,,Evaporites,,,"Johansen et al.(1993, Fig. 5)",
E,77,E769.1,,54.5,N,20,E,Europe,Poland,,western Pomerania,Middle,Carboniferous,Mississippian,Visean,,Evaporites,,,"Ziegler(1988,PL. 23)",
