LithologyCode,LithNumber,OldIDNumber,,LAT,NS,LONG,EW,Continent,Country,,GeogComments,LMU,Period,Series,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
E,30,E1330.1,,37.5,N,55.2,E,Asia,Iran,,,Middle,Carboniferous,Pennsylvanian,Moscovian,,Evaporites,Gheselghaleh,,Stampfi(1978),
E,31,E1330.2,,17.5,N,101.5,E,Asia,Thailand,,Loei region of northeast Thailand,Middle,Carboniferous,Pennsylvanian,Moscovian,,Gypsum,,,Fontaine et al.(1997),
E,32,E1331,,-18,S,125,E,Australia,,,Fitzroy Basin,L - M - U?,Carboniferous,Pennsylvanian,,,Evaporites,Anderson,,Zharkov(1981),"see Brown et al.(1968(, p. 164 Anderson Fm"
E,33,E1332,,-20,S,122,E,Australia,,,Canning Basin,L - M - U?,Carboniferous,Pennsylvanian,,,Evaporites,Anderson,,"Wells(1980, p.8)",
E,34,E1333,,74,N,19,E,Europe,,,Bear Island,Lower,Carboniferous,Pennsylvanian,Bashkirian,,Evaporites,Fusuline,indirect evidence of evaporites,"Folk,Siedlecka(1974)",
E,35,E1334,,67,N,57,E,Europe,C. I. S.(frm USSR),,Pechora-Novaya Zemlya Basin,Lower,Carboniferous,Pennsylvanian,,basal Pennsylvanian,Evaporites,,,"Zharkov(1981, Figs. 9,21, pp. 49-51)",
E,36,E1335,,55,N,38,E,Europe,C. I. S.(frm USSR),,East European Platform Moscow Syneclise,Middle,Carboniferous,Pennsylvanian,Moscovian-Orenburgian,,Evaporites,,,"Zharkov(1981, Figs. 9,21, pp. 49-51)",
E,37,E1336,,53,N,59,E,Europe,C. I. S.(frm USSR),,East Uralian area,Lower,Carboniferous,Pennsylvanian,Bashkirian,,Evaporites,,,"Zharkov(1981, Figs. 9,21, pp. 49-51)(p.119)",
E,38,E1337,,48,N,57,E,Europe,C. I. S.(frm USSR),,southern Urals,L - M - U?,Carboniferous,Pennsylvanian,,,Evaporites,,,"Masse,Vachard(1996)",
E,39,E1337.1,,68,N,49,E,Europe,C. I. S.(frm USSR),,Kolguev Island,Lower?,Carboniferous,Pennsylvanian,,Middle Carboniferous,Anhydrites,,,Preobrazhenskaya et al.(1995),
E,40,E1338,,72,N,25,E,Europe,Norway,,Nordkapp Basin off the noerthern coast of Norway,L - M,Carboniferous,Pennsylvanian,Bashkirian to Moscovian,,Evaporites,,based on seismic data,"Stemmerik,Worsley(1989)","see also Johansen et al.(1993, Fig. 5);see also Wood et al.(1989)"
E,41,E1339,,60,N,11,E,Europe,Norway,,Asker in the Oslo region,L - M - U?,Carboniferous,Pennsylvanian,,,Anhydrites,Kolsas,,Olaussen(1981b),
E,42,E1340,,78,N,15,E,Europe,Svalbard,,,L - M - U?,Carboniferous,Pennsylvanian,,,Evaporites,,,Holliday(1966),see Major et al.(1956) for additional information
