LithologyCode,LithNumber,OldIDNumber,,LAT,NS,LONG,EW,Continent,Country,,GeogComments,LMU,Period,Series,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
CA,30,CA1868,,49.5,N,7,E,Europe,Germany,,Saar Nahe Basin,Upper?,Carboniferous,Pennsylvanian,,,Calcretes,Ottweiler Group,,"Rosser(written comm.,1996)","see also Mohring,Schafer(1990)"
CA,31,CA1869,,51,N,12,E,Europe,Germany,,Saale Basin,Upper?,Carboniferous,Pennsylvanian,,,Calcretes,"the upper Gehren,Rothenburg and Sleblgerode? ",,"Rosser(written comm.,1996)",see also Gebhardt(1988) for the overall arid conditions shown bt the Mansfelder Schichten of this region
CA,32,CA1870,,51.3,N,8.3,E,Europe,Germany,,Ruhr,Upper,Carboniferous,Pennsylvanian,Stephanian,,Calcretes,Lower Rotliegend,,"Rosser(written comm.,1996)",
CA,33,CA1871,,54.5,N,13.6,E,Europe,Germany,,Rugen,Upper,Carboniferous,Pennsylvanian,Stephanian,,Calcretes,Monchgut,,"Rosser(written comm.,1996)",
CA,34,CA1872,,52,N,5,E,Europe,Germany,,,Upper,Carboniferous,Pennsylvanian,Lower Stephanian,,Calcretes,,De Lutte 6 and Norddeutschland 8 wells?,Rosser(1995),"see also Pagnier,van Tongeren(1996)"
CA,35,CA1873,,53,N,9,E,Europe,Germany,,northwest of Hannover,Upper,Carboniferous,Pennsylvanian,Lower Stephanian,,Calcretes,,wells,Rosser(1995),
CA,36,CA1874,,49,N,11,E,Europe,Germany,,,M - U,Carboniferous,Pennsylvanian,Westphalian and Stephanian,,Calcretes,Bechsrieth,,Dill(1992),
CA,37,CA1875,,60,N,11,E,Europe,Norway,,Oslo region,Upper,Carboniferous,Pennsylvanian,Stephanian?,Edgar(1994)has redated these beds;Olaussen(1981b)-Westp fusilines in Tanum Fm;Olaussen et al.(1994) reviews it,Calcretes,,,Whittaker(1977),
CA,38,CA1876,,43,N,0,,Europe,Spain,,south-central Pyrenees,Upper,Carboniferous,Pennsylvanian,Stephanian,,Calcretes,,,Nagtegaal(1969b),
CA,39,CA1877,,54,N,-2,W,United Kingdom,England,,,Upper,Carboniferous,Pennsylvanian,Stephanian,,Calcretes,Keele,,Besly(1988),
CA,40,CA1878,,53,N,-2,W,United Kingdom,England,,,Upper,Carboniferous,Pennsylvanian,Stephanian,,Calcretes,Salop,,"Glover,Powell(1966)",
CA,41,CA1879,,78,N,-85,W,N. America,Canada,,Arctic:southwestern Ellemere Island,Lower,Carboniferous,Pennsylvanian,Bashkirian,Orenburgian,Calcretes,Canyon Fiord,,"Theriault,Desrochers(1993,1994)",
CA,42,CA1879.1,,47.8,N,-65,W,N. America,New Brunswick,,"Bathurst region,northern New Brunswick",L - M - U?,Carboniferous,Pennsylvanian,,,Calcretes,Clifton,calcretes and thin coals,"Legun,Rust(1982)",
CA,43,CA1880,,46,N,-60,W,N. America,Nova Scotia,,Sydney Basin,Upper,Carboniferous,Pennsylvanian,Stephanian,,Calcretes,Bonar Cyclothem,,"Gibling,Wightman(1994)",
CA,44,CA1881,,40,N,-78,W,N. America,United States,,Central Appalachians,Upper,Carboniferous,Pennsylvanian,,Upper Mississippian and (Upper Pennsylvanian),Calcretes,(Conemaugh),also occur with redbeds,Donaldson et al.(1985),
CA,45,CA1882,,38,N,-83,W,N. America,United States,,Kentucky,Upper,Carboniferous,Pennsylvanian,,,Calcretes,Conemaugh,,Joeckel(1995b),see also Cecil et al.(1992)
CA,46,CA1883,,39,N,-79,W,N. America,United States,,Maryland,Upper,Carboniferous,Pennsylvanian,,,Calcretes,Conemaugh,"described as ""limestone"" that appear to represent pedogenic calcretes;Cecil(oral comm.(1996)-these are calcretes",Waage(1950),
CA,47,CA1884,,42,N,-93,W,N. America,United States,,Midcontinent:from the Mid continent east into Pennsylvania-Iowa,Upper,Carboniferous,Pennsylvanian,Kasimovian,Missourian,Calcretes,,,"Schutter,Heckel(1985);with examples(Fig. 7)",
CA,48,CA1885,,38,N,-98,W,N. America,United States,,Midcontinent:from the Mid continent east into Pennsylvania:Kansas,Upper,Carboniferous,Pennsylvanian,Kasimovian,Missourian,Calcretes,,,"Schutter,Heckel(1985);with examples(Fig. 7)",
CA,49,CA1886,,38,N,-88,W,N. America,United States,,Midcontinent:from the Mid continent east into Pennsylvania:Illinois,Upper,Carboniferous,Pennsylvanian,Kasimovian,Missourian,Calcretes,,,"Schutter,Heckel(1985);with examples(Fig. 7)",
CA,50,CA1887,,40,N,-95,W,N. America,United States,,"Midcontinent:eastern Kansas,eastern Nebraska,southwestern Iowa,and adjacent Missouri",Upper,Carboniferous,Pennsylvanian,Gzhelian,Virgilian,Calcretes,,,"Joeckel(1994,1995a)",
CA,51,CA1888,,42,N,-97,W,N. America,United States,,Nebraska,Upper,Carboniferous,Pennsylvanian,Kasimovian,Missourian,Calcretes,,,Prather(1985),
CA,52,CA1889,,33,N,-106,W,N. America,United States,,south-central New Mexico,Upper,Carboniferous,Pennsylvanian,,Late Pennsylvanian,Calcretes,,,Goldstein(1988),see also Soreghan(1994)
CA,53,CA1890,,40,N,-81,W,N. America,United States,,Ohio:eastern Ohio,Upper,Carboniferous,Pennsylvanian,,,Calcretes,Conemaugh,,Joeckel(1995b),
CA,54,CA1891,,35,N,-98,W,N. America,United States,,Oklahoma,Upper,Carboniferous,Pennsylvanian,,Late Pennsylvanian,Calcretes,,,Donovan(1978),
CA,55,CA1891.1,,34.75,N,-96.6,W,N. America,United States,,Oklahoma,Upper?,Carboniferous,Pennsylvanian,,,Calcretes,Virgillian Ada,,"Kissel,Lehman(2002)",
CA,56,CA1892,,41,N,-80,W,N. America,United States,,Pennsylvania:southwestern Pennsylvania,Upper,Carboniferous,Pennsylvanian,,,Calcretes,Conemaugh,,Joeckel(1995b),
CA,57,CA1893,,33,N,-100,W,N. America,United States,,Texas:central Basin Platform-Ward County,Upper,Carboniferous,Pennsylvanian,,Late Pennsylvanian,Calcretes,"Cisco,Canyon",,"Abegg,Grover(1990)",
CA,58,CA1894,,34,N,-81,W,N. America,United States,,Texas,Upper,Carboniferous,Pennsylvanian,Gzhelian,Virgilian,Calcretes,Markley-Bowie Group,redbed associated calcareous nodules,Hentz(1988),
CA,59,CA1895,,39,N,-81,W,N. America,United States,,West Virginia,Upper,Carboniferous,Pennsylvanian,,,Calcretes,Conemaugh,,Joeckel(1995b),
CA,60,CA1896,,-16,S,-68,W,S. America,Bolivia,,northwestern Bolivia,Upper?,Carboniferous,Pennsylvanian,,,Calcretes,Copacabana,"calcrete(""caliche"")",Issacson et al.(1993),
T,61,T1896.1,,-33,S,20,E,Africa,Ssouth Africa,,,,,,,,,,,,
T,62,T1897,,19.5,N,45.5,E,Asia,Arabia,,southern Saudi Arabia,M - U,Carboniferous,Pennsylvanian,Westphalian or E Stephanian to Sakmarian,,Tillites,,,McClure et al.(1988),
T,63,T1897.1,,27,N,86,E,Asia,Tethys Himalaya,,"Tethys Himalaya in India,Nepal and Tibet",Upper,Carboniferous,Pennsylvanian,,continuing into the Early Permian,Tillites,,galciomarine diamictites,Garzanti et al.(1998),
T,64,T1898,,46,N,4,E,Europe,France,,Massif Central,Upper,Carboniferous,Pennsylvanian,Stephanian-Autunian,,Tillites,,"high elevation periglacial phenomena,incl ice crystal impressions",Becq-Giraudon et al.(1966),
T,65,T1898.1,,-51,S,-75,W,S. America,Brazil,,Parana Basin,Upper,Carboniferous,Pennsylvanian,,Virgilian,Tillites,,,Lopez-Gamundi and Martinez(2000),
C,66,C1899,,35,N,-1,W,Africa,Algeria,,Oranais,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,,,Deleau(1945),
C,67,C1900,,28,N,-8,W,Africa,Algeria,,Tindouf Basin,M - U,Carboniferous,Pennsylvanian,Westphalian and Stephanian,,Coals,,,"Gorsky et al.(1967, sheet 13)",
C,68,C1901,,27,N,-9,W,Africa,Algeria,,Illizi Basin,Upper,Carboniferous,Pennsylvanian,Stephanian-Autunian,,Coals,Tiguentourine,,Legrand-Balin(1985),
C,69,C1902,,31,N,-9,W,Africa,Morocco,,Tirkou,Upper,Carboniferous,Pennsylvanian,Stephanian,,Coals,,,Petroconsultants(1977),
C,70,C1903,,33,N,-7,W,Africa,Morocco,,Ezzhilaga,Upper,Carboniferous,Pennsylvanian,Stephanian,,Coals,,,Petroconsultants(1977),
C,71,C1904,,31,N,-8,W,Africa,Morocco,,Oued-za Ourika,Upper,Carboniferous,Pennsylvanian,Stephanian,,Coals,,,"Gorsky et al.(1967, sheet 13)",
C,72,C1904.1,,31.5,N,-7.5,W,Africa,Morocco,,Ait Ziffa,Upper,Carboniferous,Pennsylvanian,Stephanian,,Coals,,,Izart et al.(1998),
C,73,C1905,,46,N,85,E,Asia,China,,Junggar:western Junggar,Upper,Carboniferous,Pennsylvanian,,,Coals,Kalagong,,Wang Zhen-ji(1990),
