LithologyCode,LithNumber,OldIDNumber,,LAT,NS,LONG,EW,Continent,Country,,GeogComments,LMU,Period,Series,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
E,34,E6020.2,,36.3,N,102.8,E,Asia,China,,Xizang:Minhe,L -M -U?,Paleogene,Eocene,,,Evaporites,Honggou,,Deng Zhong-lin et al.(2000),
E,35,E6032,,40,N,65,E,Asia,C.I.S.(frm U.S.S.R.),,southeastern Cental Asia,M  - U,Paleogene,Eocene,,Eocene-Oligocene,Gypsum,,,Pulatova(1990),
E,36,E6032.1,,45,N,79,E,Asia,C.I.S.(frm U.S.S.R.),,,Middle,Paleogene,Eocene,,Late Eocene,Gypsum,Kyzylbulek,,Lucas et al.(1997),
E,37,E6032.2,,28,N,51,E,Asia,Iran,,,Middle,Paleogene,Eocene,,Middle Eocene,Evaporites,Kashkan,,"Jones,Racey(1994)",
E,38,E6032.3,,36.75,N,57.5,E,Asia,Iran,,,Middle,Paleogene,Eocene,,Middle Eocene,Evaporites,Oryan Series,,Lindenberg et al.(1984),
E,39,E6032.4,,33,N,54,E,Asia,Iran,,,Middle,Paleogene,Eocene,,Upper Eocene,Evaporites,Pis Kuh,,Perfilev et al.(1984),
E,40,E5693.2,,36,N,52.25,E,Asia,Iran,,,,,,,,,,,,
E,41,E6033.1,,36,N,42.8,E,Asia,Iraq,,,Middle,Paleogene,Eocene,,Lower-Middle Eocene,Evaporites,Avanah/Jaddala,,"Hart,Hay(1974)",
E,42,E6033.2,,27,N,67,E,Asia,Pakistan,,,Middle,Paleogene,Eocene,,Early-Middle Eocene,Evaporites,Kirthar,,Shah(1977),
E,43,E6034,,23,N,57,E,Asia,Saudi Arabia,,and adjacent States,Middle,Paleogene,Eocene,,Middle Eocene; although most workers assign the Rus to the early Eocene,Evaporites,Rus,,"Jones,Racey(1994)",
E,44,E6035,,40,N,35,E,Asia,Turkey,,,Middle,Paleogene,Eocene,,,Evaporites,,,Uygun(1980),
E,45,E6036,,24,N,55,E,Asia,United Arab Emirates,,,Middle,Paleogene,Eocene,,Late Eocene,Evaporites,Damman Frm-Mezyad Member,,Anan(1995),
E,47,E6037,,45,N,5,E,Europe,France,,southeastern France(Mormoiron-Pernes),Middle,Paleogene,Eocene,,Late Eocene,Evaporites,,,"Truc(1978,1980)",
E,48,E6038,,46,N,5,E,Europe,France,,Bresse Basin in southeastern France,Middle,Paleogene,Eocene,Lutetian,Eocene,Evaporites,,,Curial(1988),
E,49,E6039,,48,N,2,E,Europe,France,,Paris Basin,Middle,Paleogene,Eocene,Lutetian,"mid-Eocene;see also Toulement,(1980) and Ludian(Upper Eocene)",Evaporites,,,Megnien(1980),
