LithologyCode,LithNumber,OldIDNumber,,LAT,NS,LONG,EW,Continent,Country,,GeogComments,LMU,Stage,Period,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
E,38,E110,,-30,S,133,E,Australia,South Australia,,Ackaringa Basin,Middle,,Cambrian,,Evaporite,Australian,,Wells(1980);provides detailed information,
E,39,E111.1,,-35,S,137,E,Australia,South Australia,,,Middle,,Cambrian,,Halite,Stansbury Limestone,halite pseudomorphs,"Alexander et al.(2001,p 33)",
E,40,E112,,39.25,N,8.75,E,Europe,"Italy, ",,southwestern Sardinia,Middle,,Cambrian,,Dolomite,,barite in a dolomitic sequence concluded  to be of evaporitc sabkha type ,Gandin et al.(1973),
E,41,E113,,52,N,-116,W,N. America,Canada,,"Alberta, near Canmore",M - U,,Cambrian,,Halite,,salt hoppers up to 2cm long,Waters et al.(1989),
E,42,E113.1,,52,N,-118,W,N. America,Canada,,"Alberta, near Canmore",M - U,,Cambrian,,Halite,,salt hoppers up to 2cm long,Waters et al.(1989),
E,43,E114,,53,N,-118,W,N. America,Canada,,"Alberta, Jasper Park",Upper,,Cambrian,,Halite,Roche Miette,salt casts,"Kindle(1929), Raymond(1920)",
E,44,E115,,75,N,-90,W,N. America,"Arctic, ",,Devon,Middle,,Cambrian,,Evaporite,Ooyahgah,,Davis(1973),
E,45,E116,,77,N,-80,W,N. America,"Arctic, ",,Ellesmere Islands,Middle,,Cambrian,,Evaporite,Ooyahgah,,Davis(1973),
E,46,E117,,65,N,-125,W,N. America,"Arctic, ",,Mackenzie Trough,Middle,,Cambrian,,Evaporite,,,"Douglas et al.,(1970, Fig. VIII-5) ",
E,47,E117.1,,63.5,N,-127,W,N. America,Arctic,,,Middle,,Cambrian,,Halite,Rockslide and Avalanche,abundant salt hoppers,Gabrielse et al.(1973),
E,48,E117.2,,62.5,N,-127,W,N. America,Arctic,,,Middle,,Cambrian,,Halite,Rockslide and Avalanche,abundant salt hoppers,Gabrielse et al.(1973),
E,49,E118,,51,N,-57,W,N. America,Newfoundland,,northwestern Newfoundland,Middle,,Cambrian,,Evaporite,,breccias and evaporite pseudomorphs,"Cowan, James(1993)",
