"","V1","V2","V3","V4"
"95%",-46.5225283441093,46.5225283441093,NA,NA
"75%",-31.3071397925058,31.3071397925058,NA,NA
"50%",-27.9153564114362,-7.96813500584631,7.96813500584632,27.9153564114362
