"","V1","V2","V3","V4","V5","V6"
"95%",-56.1942969716265,56.1942969716264,NA,NA,NA,NA
"75%",-40.1368458214245,40.1368458214245,NA,NA,NA,NA
"50%",-37.9756777666992,-19.8096124462611,-8.26489102617721,8.2648910261773,19.8096124462612,37.9756777666992
