"","V1","V2","V3","V4"
"95%",-57.1061863088451,57.1061863088451,NA,NA
"75%",-49.1833455275959,-10.4170192468388,10.4170192468388,49.1833455275959
"50%",-42.5199928286752,-19.1597688879036,19.1597688879036,42.5199928286752
