"","x","y"
"1",-90,0
"2",-89.55,0
"3",-89.1,0
"4",-88.65,0
"5",-88.2,0
"6",-87.75,0
"7",-87.3,0
"8",-86.85,0
"9",-86.4,0
"10",-85.95,0
"11",-85.5,0
"12",-85.05,0
"13",-84.6,0
"14",-84.15,0
"15",-83.7,0
"16",-83.25,0
"17",-82.8,0
"18",-82.35,0
"19",-81.9,0
"20",-81.45,0
"21",-81,0
"22",-80.55,0
"23",-80.1,1.57947820634058e-08
"24",-79.65,6.99683135833559e-08
"25",-79.2,1.46251889981617e-07
"26",-78.75,2.51088446682674e-07
"27",-78.3,3.92456709446668e-07
"28",-77.85,5.80177570128093e-07
"29",-77.4,8.26270311123046e-07
"30",-76.95,1.14536464152241e-06
"31",-76.5,1.55517480022798e-06
"32",-76.05,2.07704218899945e-06
"33",-75.6,2.73655309061796e-06
"34",-75.15,3.56423796681816e-06
"35",-74.7,4.59635857703845e-06
"36",-74.25,5.87578867254492e-06
"37",-73.8,7.4529932560935e-06
"38",-73.35,9.38711029879063e-06
"39",-72.9,1.17471373232983e-05
"40",-72.45,1.46132233540834e-05
"41",-72,1.8078064365912e-05
"42",-71.55,2.22483975082618e-05
"43",-71.1,2.72465860281255e-05
"44",-70.65,3.32122829379472e-05
"45",-70.2,4.03041570985694e-05
"46",-69.75,4.87016606158222e-05
"47",-69.3,5.86068113849005e-05
"48",-68.85,7.02459592868479e-05
"49",-68.4,8.38714990397251e-05
"50",-67.95,9.97634872718588e-05
"51",-67.5,0.00011823111624377
"52",-67.05,0.000139613991967315
"53",-66.6,0.000164283160450129
"54",-66.15,0.000192641822722777
"55",-65.7,0.000225125677386362
"56",-65.25,0.000262202828740527
"57",-64.8,0.000304373199262617
"58",-64.35,0.000352167387665381
"59",-63.9,0.00040614491844278
"60",-63.45,0.000466891835707831
"61",-63,0.000535017602594551
"62",-62.55,0.000611151277242969
"63",-62.1,0.000695936948270967
"64",-61.65,0.000790028427416602
"65",-61.2,0.000894083213613257
"66",-60.75,0.00100875575952025
"67",-60.3,0.00113469008838994
"68",-59.85,0.00127251182734759
"69",-59.4,0.00142281974225151
"70",-58.95,0.00158617687809932
"71",-58.5,0.00176310142605936
"72",-58.05,0.00195405745295128
"73",-57.6,0.00215944564203485
"74",-57.15,0.00237959420467676
"75",-56.7,0.00261475012991147
"76",-56.25,0.00286507094273325
"77",-55.8,0.00313061714406115
"78",-55.35,0.00341134550213472
"79",-54.9,0.00370710335214097
"80",-54.45,0.00401762404367827
"81",-54,0.0043425236623414
"82",-53.55,0.00468129913669321
"83",-53.1,0.00503332781454654
"84",-52.65,0.00539786855627755
"85",-52.2,0.00577406436210081
"86",-51.75,0.00616094652737306
"87",-51.3,0.00655744029193426
"88",-50.85,0.00696237191109574
"89",-50.4,0.0073744770381737
"90",-49.95,0.00779241028006894
"91",-49.5,0.00821475576761827
"92",-49.05,0.00864003856510748
"93",-48.6,0.00906673672478119
"94",-48.15,0.00949329377482433
"95",-47.7,0.00991813142211483
"96",-47.25,0.0103396622533701
"97",-46.8,0.0107563022232005
"98",-46.35,0.0111664827260793
"99",-45.9,0.0115686620673435
"100",-45.45,0.0119613361721209
"101",-45,0.0123430483944192
"102",-44.55,0.0127123983131414
"103",-44.1,0.0130680494309154
"104",-43.65,0.013408735725109
"105",-43.2,0.0137332670375971
"106",-42.75,0.0140405333238585
"107",-42.3,0.0143295078058043
"108",-41.85,0.014599249093614
"109",-41.4,0.0148489023708086
"110",-40.95,0.015077699763274
"111",-40.5,0.015284960023052
"112",-40.05,0.0154700876607444
"113",-39.6,0.0156325716691511
"114",-39.15,0.0157719839858579
"115",-38.7,0.0158879778328932
"116",-38.25,0.0159802860540968
"117",-37.8,0.0160487195554417
"118",-37.35,0.0160931659388898
"119",-36.9,0.0161135884000342
"120",-36.45,0.0161100249348076
"121",-36,0.0160825878756369
"122",-35.55,0.0160314637522597
"123",-35.1,0.015956913446512
"124",-34.65,0.0158592725880433
"125",-34.2,0.0157389521215977
"126",-33.75,0.0155964389622935
"127",-33.3,0.0154322966401617
"128",-32.85,0.0152471658229668
"129",-32.4,0.0150417646024185
"130",-31.95,0.0148168884323224
"131",-31.5,0.0145734096125709
"132",-31.05,0.0143122762193811
"133",-30.6,0.0140345103937691
"134",-30.15,0.0137412059175628
"135",-29.7,0.0134335250233061
"136",-29.25,0.0131126944014137
"137",-28.8,0.0127800003890003
"138",-28.35,0.0124367833489367
"139",-27.9,0.0120844312695958
"140",-27.45,0.0117243726327652
"141",-27,0.0113580686125013
"142",-26.55,0.0109870046860545
"143",-26.1,0.0106126817560234
"144",-25.65,0.0102366068932692
"145",-25.2,0.00986028381394403
"146",-24.75,0.00948520320893256
"147",-24.3,0.00911283304844701
"148",-23.85,0.00874460898305392
"149",-23.4,0.0083819249560503
"150",-22.95,0.0080261241358391
"151",-22.5,0.00767849027180363
"152",-22.05,0.0073402395701161
"153",-21.6,0.00701251317267684
"154",-21.15,0.00669637030614023
"155",-20.7,0.00639278215551987
"156",-20.25,0.0061026265094229
"157",-19.8,0.00582668321650285
"158",-19.35,0.00556563048129952
"159",-18.9,0.00532004201293014
"160",-18.45,0.0050903850286197
