"","V1","V2","V3","V4"
"95%",-48.2135488222008,50.1836892963991,NA,NA
"75%",-33.0092764410596,-0.148552715869789,4.14459847212712,38.3886030515432
"50%",-28.5175694238998,-9.2953381607992,12.7763404415564,34.9027150381746
