"","V1","V2","V3"
"95%",-28.971956415078,-27.8682071522135,55.5999853917729
"75%",-43.9405649488395,-7.30667926547389,42.9091403682602
"50%",-48.6127617159503,11.7783319030776,18.6334661218415
