"","V1","V2","V3","V4","V5","V6"
"95%",-74.3732678843724,-39.3165158569422,-17.8012207018685,66.7507507862434,NA,NA
"75%",-65.7181149409391,-52.1896957357399,-7.67495412713528,24.3738195460647,28.9408197729164,60.1211792262546
"50%",-59.4218259325404,-59.0811954947715,-4.51668455067448,16.0035858379566,34.9535963117753,58.1623147368803
