Dataset x,Dataset y
4.98E-01,-7.97E-02
1.57E+01,1.15E+01
2.98E+01,1.15E+01
5.34E+01,2.83E+01
6.21E+01,2.87E+01
7.29E+01,2.61E+01
9.77E+01,3.15E+01
1.04E+02,3.19E+01
1.22E+02,3.84E+01
1.34E+02,1.61E+01
1.56E+02,1.69E+01
1.69E+02,2.11E+01
1.97E+02,1.34E+01
2.40E+02,1.42E+01
2.57E+02,-1.27E-02
2.80E+02,1.04E+01
3.14E+02,1.85E+01
3.44E+02,2.44E+01
3.81E+02,2.40E+01
3.92E+02,3.08E+01
4.36E+02,3.73E+01
4.99E+02,5.48E+00
5.17E+02,2.28E+01
5.51E+02,2.49E+01
