Dataset x,Dataset y
3.87E-01,1.07E+00
1.48E+01,-9.54E-01
2.98E+01,-1.15E+01
5.00E+01,1.72E+00
6.96E+01,7.90E+00
8.94E+01,2.90E+01
1.44E+02,1.06E+01
1.80E+02,1.46E+01
2.01E+02,6.00E+00
2.16E+02,5.23E+00
2.45E+02,5.23E+00
2.58E+02,7.96E+00
2.80E+02,1.78E+01
2.87E+02,2.16E+01
3.00E+02,2.92E+01
3.39E+02,3.10E+01
3.69E+02,4.43E+01
4.00E+02,2.65E+01
4.49E+02,3.96E+01
4.70E+02,1.26E+01
5.00E+02,1.94E+01
5.39E+02,2.61E+00
