"","V1","V2","V3","V4","V5","V6"
"95%",-55.0707424919654,-12.9077257614372,-10.5390944384024,10.5390944384024,12.9077257614372,55.0707424919654
"75%",-51.379339111945,-20.8404491516791,20.8404491516791,51.379339111945,NA,NA
"50%",-45.1547435733082,-28.0626503610362,28.0626503610362,45.1547435733082,NA,NA
