"","V1","V2","V3","V4"
"95%",-53.4713961958716,53.4713961958716,NA,NA
"75%",-36.4160755897465,36.4160755897465,NA,NA
"50%",-32.2168298095912,-8.75247125013167,8.75247125013168,32.2168298095912
