"","V1","V2","V3","V4","V5","V6"
"95%",-71.5062723586567,-26.3274547446461,-23.7168736597082,23.7168736597082,26.3274547446461,71.5062723586567
"75%",-67.3618266055345,-35.0703040634733,-13.4101990587938,13.4101990587938,35.0703040634733,67.3618266055345
"50%",-62.983921731779,-40.1575113737939,-3.52716198178565,3.52716198178565,40.1575113737939,62.983921731779
