"","V1","V2","V3","V4"
"95%",-82.7633859704099,-45.0546970641118,45.0546970641118,82.7633859704099
"75%",-78.3567974226974,-54.6238358590199,54.6238358590199,78.3567974226974
"50%",-74.3879247307244,-60.2420090468077,60.2420090468077,74.3879247307244
