"","V1","V2","V3","V4","V5","V6"
"95%",-74.310036413949,74.310036413949,NA,NA,NA,NA
"75%",-65.699779166027,-19.67891766194,-8.90828808952064,8.90828808952064,19.67891766194,65.699779166027
"50%",-61.9799580558399,-28.2106095851971,28.2106095851972,61.9799580558399,NA,NA
