"","x","y"
"1",-90,0
"2",-89.55,0
"3",-89.1,0
"4",-88.65,0
"5",-88.2,0
"6",-87.75,0
"7",-87.3,5.34170478534701e-06
"8",-86.85,5.26758503094732e-05
"9",-86.4,9.92217098548524e-05
"10",-85.95,0.000144932610947174
"11",-85.5,0.000189773316541025
"12",-85.05,0.000233720155558953
"13",-84.6,0.00027676070264699
"14",-84.15,0.000318886262990943
"15",-83.7,0.000360097447914642
"16",-83.25,0.000400399677982601
"17",-82.8,0.000439803264489144
"18",-82.35,0.000478323471671359
"19",-81.9,0.000515980558669123
"20",-81.45,0.000552799800360693
"21",-81,0.000588811486283464
"22",-80.55,0.000624050896981155
"23",-80.1,0.000658558257210937
"24",-79.65,0.000692378665530952
"25",-79.2,0.000725561999880785
"26",-78.75,0.000758162798865679
"27",-78.3,0.000790240118646428
"28",-77.85,0.000821857365509291
"29",-77.4,0.000853082104358733
"30",-76.95,0.00088398584349718
"31",-76.5,0.000914643796112639
"32",-76.05,0.000945134619063105
"33",-75.6,0.000975540129688233
"34",-75.15,0.00100594500158091
"35",-74.7,0.00103643644039051
"36",-74.25,0.00106710384083186
"37",-73.8,0.00109803842614853
"38",-73.35,0.00112933287142592
"39",-72.9,0.0011610809122593
"40",-72.45,0.00119337694046285
"41",-72,0.00122631558858579
"42",-71.55,0.00125999130510212
"43",-71.1,0.00129449792218217
"44",-70.65,0.00132992821802786
"45",-70.2,0.00136637347579479
"46",-69.75,0.0014039230411834
"47",-69.3,0.00144266388081757
"48",-68.85,0.00148268014354238
"49",-68.4,0.00152405272683185
"50",-67.95,0.00156685885050009
"51",-67.5,0.00161117163991168
"52",-67.05,0.00165705972097295
"53",-66.6,0.00170458682906464
"54",-66.15,0.00175381143421297
"55",-65.7,0.00180478638454724
"56",-65.25,0.00185755857019984
"57",-64.8,0.0019121686096628
"58",-64.35,0.00196865056066578
"59",-63.9,0.00202703165763283
"60",-63.45,0.00208733207787121
"61",-63,0.00214956473839603
"62",-62.55,0.00221373512526312
"63",-62.1,0.00227984115712893
"64",-61.65,0.00234787308474743
"65",-61.2,0.00241781342806393
"66",-60.75,0.00248963695247676
"67",-60.3,0.00256331068540358
"68",-59.85,0.00263879397422954
"69",-59.4,0.0027160385866484
"70",-58.95,0.00279498885453091
"71",-58.5,0.0028755818622539
"72",-58.05,0.00295774768018314
"73",-57.6,0.00304140964335461
"74",-57.15,0.0031264846749484
"75",-56.7,0.00321288365381302
"76",-56.25,0.00330051182514936
"77",-55.8,0.00338926925340719
"78",-55.35,0.00347905131622082
"79",-54.9,0.00356974923761458
"80",-54.45,0.00366125065833182
"81",-54,0.00375344024034371
"82",-53.55,0.00384620030238284
"83",-53.1,0.00393941148284281
"84",-52.65,0.00403295342622846
"85",-52.2,0.00412670548892698
"86",-51.75,0.00422054745992291
"87",-51.3,0.00431436029166388
"88",-50.85,0.00440802683581845
"89",-50.4,0.00450143257833442
"90",-49.95,0.00459446636819007
"91",-49.5,0.00468702113420677
"92",-49.05,0.00477899458413126
"93",-48.6,0.00487028987993105
"94",-48.15,0.00496081628324878
"95",-47.7,0.00505048976494448
"96",-47.25,0.0051392335733833
"97",-46.8,0.00522697875616243
"98",-46.35,0.00531366463016025
"99",-45.9,0.00539923919506126
"100",-45.45,0.00548365948590255
"101",-45,0.00556689186082228
"102",-44.55,0.00564891222058658
"103",-44.1,0.00572970615649091
"104",-43.65,0.00580926902417304
"105",-43.2,0.005887605941318
"106",-42.75,0.00596473170885963
"107",-42.3,0.00604067065565727
"108",-41.85,0.00611545640719549
"109",-41.4,0.00618913157867936
"110",-40.95,0.00626174739341489
"111",-40.5,0.00633336322840304
"112",-40.05,0.00640404609024425
"113",-39.6,0.00647387002561112
"114",-39.15,0.00654291547079907
"115",-38.7,0.00661126854501442
"116",-38.25,0.00667902029230668
"117",-37.8,0.00674626587744656
"118",-37.35,0.00681310374222612
"119",-36.9,0.00687963472902861
"120",-36.45,0.00694596117901496
"121",-36,0.00701218601214795
"122",-35.55,0.00707841179627602
"123",-35.1,0.00714473981282921
"124",-34.65,0.00721126912712566
"125",-34.2,0.0072780956711691
"126",-33.75,0.00734531134688431
"127",-33.3,0.00741300315706981
"128",-32.85,0.00748125237142812
"129",-32.4,0.00755013373475891
"130",-31.95,0.00761971472473878
"131",-31.5,0.00769005486594083
"132",-31.05,0.00776120510658194
"133",-30.6,0.00783320726330636
"134",-30.15,0.00790609353870662
"135",-29.7,0.00797988611589984
"136",-29.25,0.00805459683394302
"137",-28.8,0.00813022694773578
"138",-28.35,0.00820676697514315
"139",-27.9,0.00828419663300971
"140",-27.45,0.00836248486282621
"141",-27,0.00844158994573011
"142",-26.55,0.00852145970616033
"143",-26.1,0.00860203180274124
"144",-25.65,0.00868323410443129
"145",-25.2,0.00876498514912331
"146",-24.75,0.0088471946810215
"147",-24.3,0.00892976426222518
"148",-23.85,0.00901258795315567
"149",-23.4,0.00909555305584826
"150",-22.95,0.00917854091362987
"151",-22.5,0.00926142776037252
"152",-22.05,0.00934408561156299
"153",-21.6,0.00942638318928238
"154",-21.15,0.00950818687260357
"155",-20.7,0.00958936166492786
"156",-20.25,0.00966977216981979
"157",-19.8,0.00974928356663264
"158",-19.35,0.00982776257703186
"159",-18.9,0.00990507841365785
"160",-18.45,0.00998110370211607
"161",-18,0.0100557153679459
"162",-17.55,0.0101287954802685
"163",-17.1,0.0102002320443729
"164",-16.65,0.0102699197359773
"165",-16.2,0.0103377605704421
"166",-15.75,0.0104036645007344
"167",-15.3,0.0104675499384274
