"","V1","V2","V3","V4"
"95%",-62.757719076756,62.757719076756,NA,NA
"75%",-44.476997548595,44.476997548595,NA,NA
"50%",-35.0710152952826,-6.28275304137503,6.28275304137503,35.0710152952827
