"","V1","V2","V3","V4","V5","V6"
"95%",-84.6976402432394,-63.1527465391712,-48.4245552682457,48.4245552682457,63.1527465391712,84.6976402432394
"75%",-79.5999821637787,-72.1681128312351,-36.1407705201199,36.1407705201199,72.1681128312351,79.5999821637787
"50%",-24.1068096196745,24.1068096196745,NA,NA,NA,NA
