,V1,V2,V3,V4,V5,
95%,-90,-22.34655677,-9.503621128,9.503621128,22.34655677,90
75%,-88.18486418,-43.03930063,43.03930063,88.2074723,NA,
50%,-85.12094991,-59.72666122,59.72666122,85.12451161,NA,
