,V1,V2,V3,V4,V5,V6,,
95%,-29.37646465,-13.76094538,13.76094538,29.37646465,,,,
75%,-88.98415615,-80.85886309,-75.91564344,-40.70294179,40.70294179,75.91564344,80.85886309,89.01470071
50%,-68.91895866,-45.52491051,45.52491051,68.91895866,,,,
