"","V1","V2","V3","V4","V5","V6"
"95%",-71.5437547598948,71.5437547598948,NA,NA,NA,NA
"75%",-64.8704656286307,-25.099209658455,-12.4505669545586,12.4505669545586,25.099209658455,64.8704656286307
"50%",-62.1966398377335,-30.7764725391697,30.7764725391697,62.1966398377335,NA,NA
