"","V1","V2","V3","V4","V5"
"95%",-69.7697965203447,-40.2938135240133,-23.2230657929268,NA,NA
"75%",-57.0384430862827,-54.99441699046,-13.4977904969791,6.70843727956389,23.8269093996377
"50%",44.5955147331872,89.526782020457,NA,NA,NA
