"","V1","V2","V3","V4","V5"
"95%",-32.150320348772,-11.1448699974993,15.5021192543116,26.486912582358,76.5818132362179
"75%",-43.5420692008354,42.0773419377452,70.040863748545,NA,NA
"50%",-80.6095806880146,-64.8071705959964,-50.7710083342076,47.0712079028581,66.3391279304528
