"","V1","V2","V3","V4","V5","V6"
"95%",-62.370173131178,-36.3367461559888,-9.64241397931437,79.68655032246,NA,NA
"75%",-54.0807125659073,-43.9552729204781,0.07777951904115,68.7075699349722,NA,NA
"50%",-50.6343139926636,-47.253753418817,5.30937496501389,10.5870189366796,25.1217027319041,63.9804195845872
