"","V1","V2","V3","V4"
"95%",-63.244410853156,60.5597427297089,NA,NA
"75%",-55.9306302846513,-20.2289640829601,5.4323505047869,54.7986063342087
"50%",-46.6154010139152,-32.2827916242044,13.1635182356146,49.638178804958
