"","V1","V2","V3","V4","V5"
"95%",-85.1936309379179,-35.3499924865988,-11.9609479123133,10.8666201221296,16.2548009495086
"75%",-58.1488677490506,-45.9222576122776,27.9963001172383,NA,NA
"50%",56.6610503649164,87.551260944407,NA,NA,NA
