"","V1","V2","V3"
"95%",-76.8560270640281,-33.4724972326803,-13.779923055052
"75%",-71.5108449045344,-46.9192261021992,27.8814951432083
"50%",-63.641807324005,-57.1231944099624,51.0792798455455
