"","V1","V2","V3","V4"
"95%",-49.275933356345,49.275933356345,NA,NA
"75%",-39.5314084985359,-4.82072585898074,4.82072585898074,39.5314084985359
"50%",-35.4410997091352,-14.1186642300495,14.1186642300495,35.4410997091352
