"","V1","V2","V3","V4"
"95%",-68.4863263333408,68.4863263333408,NA,NA
"75%",-49.7086728732363,49.7086728732364,NA,NA
"50%",-33.7004506582797,-1.13352351757335,1.1335235175744,33.7004506582798
