"","V1","V2","V3","V4","V5","V6"
"95%",-89.8004951205066,-27.1285056151051,-19.8148192690804,19.8148192690805,27.1285056151051,89.9006584061291
"75%",-87.3912827195372,-37.3779620894871,-7.74657634608177,7.74657634608174,37.3779620894871,87.4456206639633
"50%",-82.9389093296445,-48.0892887932772,48.0892887932772,82.9474615245924,NA,NA
